Course Subject,Academic Period,Section Listings,Description,Credits,Capacity,Reserved Seats,Reserved Capacity Line,Notes,"Day, Start, & End",Course Tags,Section Status
Africana Studies (AFST),2025 Spring Term,"AFST 213-00 - Race, Racism, and the Beloved Community in the US","Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.",6,25,0,,,TTH | 1:15 PM - 3:00 PM,"ACE Theoretical

AFST - Africana Studies Program :: AFST Core

AFST - Africana Studies Program :: AFST Humanistic Inquiry

CL: 200 level

LAR: Humanistic Inquiry :: LAR: HI, Humanistic Inquiry

LAR: IDS, Intercultural Domestic Studies

LAR: WR2 Writing Requirement 2",Open
Africana Studies (AFST),2025 Spring Term,AFST 289-00 - Global Blackness and Social Movements,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.",6,25,0,,,TTH | 10:10 AM - 11:55 AM,"AFST - Africana Studies Program :: AFST Core

AFST - Africana Studies Program :: AFST Social Inquiry

CL: 200 level

LAR: IS, International Studies

LAR:  Social Inquiry :: LAR: SI, Social Inquiry

LAR: WR2 Writing Requirement 2

SOAN - Sociology and Anthropology Program :: SOAN Pertinent",Open
Africana Studies (AFST),2025 Spring Term,"AFST 300-00 - Race, Racism, and the Beloved Community in the US","Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.",6,25,0,,,TTH | 1:15 PM - 3:00 PM,"ACE Theoretical

AFST - Africana Studies Program :: AFST Core

AFST - Africana Studies Program :: AFST Humanistic Inquiry

CL: 300 level

LAR: Humanistic Inquiry :: LAR: HI, Humanistic Inquiry

LAR: IDS, Intercultural Domestic Studies

LAR: WR2 Writing Requirement 2",Open
American Studies (AMST),2025 Spring Term,AMST 115-00 - Intro to American Studies,"This overview of the “interdisciplinary discipline” of American Studies will focus on the ways American Studies engages with and departs from other scholarly fields of inquiry. We will study the stories of those who have been marginalized in the social, political, cultural, and economic life of the United States due to their class, race, ethnicity, gender, sexual orientation, religion, citizenship, and level of ability. We will explore contemporary American Studies concerns like racial and class formation, the production of space and place, the consumption and circulation of culture, and transnational histories.",6,30,30,30 - reserved for REQ: Sophomore Priority (Condition Rule) until 03/07/2025,Sophomore Priority,"F | 12:00 PM - 1:00 PM

MW | 11:10 AM - 12:20 PM","AMMU - American Music Program :: AMMU Music Foundations

CCST - Cross-Cultural Studies Program :: CCST Seeing and Being Cross-Cult

CL: 100 level

EDUC - Educational Studies Program :: EDUC 2 Soc and Cult Context

HIST - History Program :: HIST Pertinent Courses

HIST - History Program :: HIST US History

LAR: Humanistic Inquiry :: LAR: HI, Humanistic Inquiry

LAR: IDS, Intercultural Domestic Studies

LAR: WR2 Writing Requirement 2",Open
American Studies (AMST),2025 Spring Term,AMST 269-00 - Woodstock Nation,"""If you remember the Sixties, you weren't there.""  We will test the truth of that popular adage by exploring the American youth counterculture of the 1960s, particularly the turbulent period of the late sixties. Using examples from literature, music, and film, we will examine the hope and idealism, the violence, confusion, wacky creativity, and social mores of this seminal decade in American culture. Topics explored will include the Beat Generation, the Vietnam War, Civil Rights, LSD, and the rise of environmentalism, feminism, and Black Power.",6,25,0,,Extra time,"F | 1:10 PM - 2:10 PM

MW | 12:30 PM - 1:40 PM","AMMU - American Music Program :: AMMU Soundtracks America

AMST - American Studies Program :: AMST Democracy Activism

AMST - American Studies Program :: AMST Prdctn Consmptn Cult

AMST - American Studies Program :: AMST Race Ethnicty Indign

CAMS - Cinema and Media Studies Program :: CAMS Extra Departmental

CL: 200 level

ENGL - English Program :: ENGL Historical Era 3

ENGL - English Program :: ENGL Tradition 2

LAR: IDS, Intercultural Domestic Studies

LAR: Literary / Artistic Analysis :: LAR: LA, Literary/Artistic Analysis

LAR: WR2 Writing Requirement 2",Open
American Studies (AMST),2025 Spring Term,AMST 321-00 - Indigenous Chicago: Indigenous Histories and Futures in Zhegagoynak,"Before Chicago as we know it today existed, many Indigenous nations had long standing relationships with this place. They knew it as Zhegagoynak, Gaa-zhigaagwanzhikaag, Zhigaagong, Šikaakonki, Shekâkôheki, Sekākoh, and Gųųšge honąk, among others. This course emerges from four years of community-engaged curriculum development and examines Chicago histories through five themes: Chicago's lands and environment, Chicago as a Native place, Chicago as a place of convergence, activism and resistance in Chicago, and community-driven education movements in Chicago. Drawing from History, American Studies, Education, and Indigenous Studies, students will also examine how research and curricula can center Indigenous perspectives and sources.",6,15,0,,,TTH | 10:10 AM - 11:55 AM,"AMST - American Studies Program :: AMST Race Ethnicty Indign

AMST - American Studies Program :: AMST Space and Place

CL: 300 level

HIST - History Program :: HIST US History

LAR: Humanistic Inquiry :: LAR: HI, Humanistic Inquiry

LAR: IDS, Intercultural Domestic Studies",Open
American Studies (AMST),2025 Spring Term,AMST 396-00 - Junior Research Seminar (Producing Latinidad),"As Arlene Dávila points out in Latinos Inc, Latinidad—the term that names a set of presumably common attributes that connects Latinxs in the U.S.—emerges in part from communities but, importantly, is developed heavily by the media, advertising, and other political and social institutions, including academia. In this course we consider how ideas and imaginings of who Latinxs are and what Latinidad is develop within political spaces (the electorate, the census), in local places, and through various media, including television, advertising, and music. We will consider how individual writers and artists contribute to the conversation. Throughout, we will engage with social and cultural theories about racial formation, gender, and sexuality.",6,15,0,,,TTH | 10:10 AM - 11:55 AM,"CL: 300 level

GWSS - Gender, Women’s & Sexuality Studies Program :: GWSS Elective

LAR: Humanistic Inquiry :: LAR: HI, Humanistic Inquiry

LAR: IDS, Intercultural Domestic Studies

LAR: WR2 Writing Requirement 2

LTAM - Latin American Studies Program :: LTAM Electives",Open
Arabic (ARBC),2025 Spring Term,ARBC 103-00 - Elementary Arabic,"This course sequence introduces non-Arabic speakers to the sounds, script, and basic grammar of Arabic--the language of 200 million speakers in the Arab world and the liturgical language of over a billion Muslims. Students will develop basic listening, speaking, reading and writing skills in Modern Standard Arabic. Classes will incorporate readings and audio-visual material from contemporary Arabic media, as well as popular music.",6,16,0,,,"F | 9:40 AM - 10:40 AM

MW | 9:50 AM - 11:00 AM

TTH | 9:30 AM - 10:35 AM","CL: 100 level

LAR: No Exploration

MEST - Middle Eastern Studies Program :: MEST Pertinent",Open
Arabic (ARBC),2025 Spring Term,ARBC 206-00 - Arabic in Cultural Context,"In this course students will continue to develop their Arabic language skills, including expanding their command of Arabic grammar, improving their listening comprehension, reading and writing skills. In addition to more language-focused training, the course will introduce students to moreáadvanced readings, including literary texts (prose and poetry, classical and modern) and op-ed articles from current media. Class discussions will be in Arabic.",6,25,0,,,"F | 2:20 PM - 3:20 PM

MW | 1:50 PM - 3:00 PM","CL: 200 level

LAR: No Exploration

MEST - Middle Eastern Studies Program :: MEST Supporting Group 2",Open
Arabic (ARBC),2025 Spring Term,ARBC 222-00 - Music in the Middle East,"The Middle East is home to a great number of musical styles, genres, and traditions. Regional, ideological, and cultural diversity, national identity, and cross-cultural encounters--all express themselves in music. We will explore some of the many musical traditions in the Arab world, from early twentieth century to the present. Class discussions based on readings in English and guided listening. No prior music knowledge required, but interested students with or without musical background can participate in an optional, hands-on Arab music performance workshop, on Western or a few (provided) Middle Eastern instruments throughout the term.",6,25,0,,,"F | 1:10 PM - 2:10 PM

MW | 12:30 PM - 1:40 PM","CL: 200 level

LAR: CX, Cultural/Linguistics

LAR: IS, International Studies

LAR: Literary / Artistic Analysis :: LAR: LA, Literary/Artistic Analysis

MEST - Middle Eastern Studies Program :: MEST Supporting Group 2

MUSC - Music Program :: MUSC Ethnomusicolgy or Pop",Open
