Word,Count
and,1137
the,1010
of,760
to,422
in,389
will,301
a,270
course,220
this,218
we,205
as,152
on,151
how,135
is,119
with,107
that,105
from,97
for,92
students,90
are,85
an,77
be,74
s,73
what,65
their,62
or,62
topics,60
it,60
social,57
explore,56
by,56
include,54
history,52
world,50
study,49
these,47
including,46
have,45
american,41
analysis,40
about,40
writing,40
through,39
other,38
gender,38
cultural,37
also,36
work,36
research,35
both,35
such,35
life,34
class,34
examine,33
political,32
language,32
more,32
our,30
but,30
they,30
all,30
data,29
people,29
at,29
focus,28
which,27
modern,27
use,26
human,26
has,26
do,26
variety,25
culture,25
one,25
politics,25
consider,24
music,24
learn,24
skills,24
who,24
methods,23
can,23
design,23
not,23
introduction,23
using,23
ways,23
between,23
understanding,23
contemporary,23
historical,23
its,23
science,23
used,22
religion,22
techniques,22
development,21
you,21
well,21
questions,21
develop,20
did,20
theory,20
art,20
while,20
basic,20
production,20
studies,19
role,19
understand,19
different,19
when,19
reading,19
systems,19
states,19
time,18
some,18
emphasis,17
focuses,17
into,16
recent,16
past,16
them,16
analyze,16
practices,16
two,16
tools,16
readings,16
explores,15
complex,15
range,15
learning,15
ll,15
literary,15
various,15
performance,15
critical,15
relationship,15
present,14
indigenous,14
body,14
most,14
u,14
within,14
others,14
over,14
first,14
term,13
based,13
examines,13
student,13
short,13
taken,13
each,13
particular,12
should,12
women,12
your,12
read,12
seminar,12
jewish,12
projects,12
there,12
required,12
global,12
principles,12
form,12
processes,12
middle,12
better,12
does,12
individual,12
poetry,12
natural,12
new,12
own,12
national,12
queer,12
like,12
computational,11
chemistry,11
may,11
popular,11
so,11
musical,11
united,11
focused,11
material,11
food,11
listening,11
prior,11
groups,11
racial,11
group,11
public,11
identity,11
approaches,11
system,11
major,11
way,11
around,11
discuss,11
courses,11
throughout,11
