Course Number,Course Title,Credits,Description,Offered,Liberal Arts Requirements,Prerequisites,Tags,Sections
AFST 200,Frederick Douglass: the Politics and Philosophy of Citizenship,6 credits,"This course provides a critical study of Frederick Douglass, a man who rose from slavery to establish himself as one of the most important thinkers of his time. Through a political philosophical reading of his works, the course will trace the evolution of his views on freedom, equality, citizenship, political and moral responsibility, among others. Questions that will guide our discussions include: what does it mean to be free? What are the responsibilities of citizens in a liberal democracy? What lessons can the black experience teach us about these? In addition to Douglass’ primary texts, the class will read secondary texts that celebrate his political philosophical legacy",Winter 2025,"HI, Humanistic Inquiry | IDS, Intercultural Domestic Studies",Student has completed any of the following course(s): One course that applies toward the Humanistic Inquiry requirement with a grade of C- or better.,PHIL Pertinent | CL: 200 level | AFST Humanistic Inquiry | PHIL Interdisciplinary 1 | PHIL Social and Political Theory 2,"AFST
                                                 200.00 | Winter 2025 | Faculty: | Chielo Eze | 🏫 | 👤 | Size: | 15 | T, TH | Leighton 303 | 1:15pm-3:00pm"
AFST 220,"Color, Class, and Status in Black America",6 credits,"As a racial category and identity, “Black” is often treated in a homogenous, monolithic way, obscuring the internal diversity and inequality within the black population in the U.S. In this course, we consider the inequalities within black communities and the black population living in the U.S., historically and through to the present. “Colorism,” or skin tone stratification, represents one status linked to class and ranking in society; but does colorism matter more than other statuses to class? Class differences are in fact profound within black communities, and they are correlated to multiple social statuses–skin tone, immigrant status, national origin, and even political orientation. We will examine how these status, color, and class interact, and how they shape class relations and tensions, lived experience, and notions of authenticity (“blackness”) in everday life and popular culture. Course topics include the Black middle class; education; neighborhood segregation; gender and sexuality; and media representations and popular culture.",Winter 2025,"IDS, Intercultural Domestic Studies | SI, Social Inquiry",,AFST Core | SOAN Pertinent | CL: 200 level | AMST Democracy Activism | AFST Social Inquiry,"AFST
                                                 220.00 | Winter 2025 | Faculty: | Daniel Williams | 🏫 | 👤 | Size: | 25 | T, TH | Leighton 236 | 3:10pm-4:55pm"
AFST 398,Africana Studies Capstone,3 credits,"This three-credit course gives Africana Studies majors and minors the opportunity to reflect on their learning in Africana Studies and to prepare to apply this knowledge to future endeavors. In this capstone course, the student creates a portfolio of their work in Africana Studies and writes a five-ten page reflective essay tying these papers together. This course gives students an opportunity to seriously reflect about the courses they have taken and the work they have produced within and related to their AFST major/minor, and to draw connections among them.",Winter 2025,No Exploration,Open to students who have declared either Africana Studies Major or Africana Studies Minor.,AFST Capstone Seminar | CL: 300 level,"AFST
                                                 398.00 | Winter 2025 | Faculty: | Chielo Eze | 🏫 | 👤 | Size: | 15 | M, W | Leighton 301 | 1:50pm-3:00pm | F | Leighton 301 | 2:20pm-3:20pm"
AFST 400,Integrative Exercise,,"The comprehensive exercise is a substantial (approximately 34-40 page) research paper on a topic within African, African American, and/or African Diaspora studies. The student should have completed a 300-level AFST course, or a 300-level course that counts toward the AFST major. The comps process begins with a Comps Topic Development Worksheet during spring term of the junior year, a comps topic intention form followed by a proposal in fall term of the senior year, and ends with a final written thesis and oral presentation early in spring term.",Winter 2025,,Student is in the AFST Program of Study and has Senior Priority.,,"AFST
                                                 400.00 | Winter 2025 | Faculty: | Chielo Eze | 🏫 | 👤 | Size: | 25 | Grading: | S/NC | Credits: | 1 – 6"
AMST 142,U.S. Latinx Identity and Representation: Cultures of Belonging,6 credits,"Popular culture and mass media serve as key sites of identity formation. In this course we will examine U.S. Latinx identity formation by focusing on three case studies: Selena Quintanilla, the singer; telenovelas; and the Disney films Coco and Encanto. These case studies will help us explore how transnationalism, intergenerational knowledge and trauma, and civic and cultural belonging contribute to the shaping of U.S. Latinx collective identities. We will attend to the particular processes of production and reception as we study how audiences engage with cultural producers both in private and in public (notably on social media).",Winter 2025,"HI, Humanistic Inquiry | IDS, Intercultural Domestic Studies | WR2 Writing Requirement 2",,AMST Democracy Activism | AMST Prdctn Consmptn Cult | AMST Race Ethnicty Indign | CL: 100 level,"AMST
                                                 142.00 | Winter 2025 | Faculty: | Adriana Estill | 🏫 | 👤 | Size: | 25 | M, W | Laird 205 | 9:50am-11:00am | F | Laird 205 | 9:40am-10:40am"
AMST 217,"Race, Gender, and Sports in America",6 credits,"How have American sports made visible discourses about race and gender? How do Americans who engage with sports—both as spectators and participants—imagine athletics when viewed through raced and gendered lenses? How do sports reflect assumptions about race and gender? Examining moments in the history of American athletics both from the distant and more recent pasts, students in this course will explore those issues while training a precise, critical eye on American culture and society. Key discussions will center on questions of the athletic body, integration, privilege and inequality, protest, power, and commercialism.",Winter 2025,"HI, Humanistic Inquiry | IDS, Intercultural Domestic Studies | WR2 Writing Requirement 2",,AMST Prdctn Consmptn Cult | AMST Race Ethnicty Indign | GWSS Elective | AFST Humanistic Inquiry | CL: 200 level,"AMST
                                                 217.00 | Winter 2025 | Faculty: | Christopher Elias | 🏫 | 👤 | Size: | 25 | T, TH | CMC 209 | 1:15pm-3:00pm"
AMST 263,Ethics of Indigenous Engagement,3 credits,"This course explores ethical questions raised in academic civic engagement with Indigenous Nations, communities, and organizations. How might curricular, co-curricular, and institutional engagement proceed “in a good way”? How can we interrupt a history of extractive relationships between academic institutions and Native peoples? How should partnerships reflect Indigenous sovereignty and work from meaningful overlaps between academic and Indigenous priorities? What is the right relationship between scholarship and advocacy? How can Indigenous knowledges, values, and pedagogies reshape academic inquiry? These questions will be explored through case studies, conversations with Indigenous partners, and structured reflection on student's varied engagement experiences.",Winter 2025,"HI, Humanistic Inquiry | IDS, Intercultural Domestic Studies",,ACE Theoretical | AMST Democracy Activism | AMST Race Ethnicty Indign | CL: 200 level,"AMST
                                                 263.00 | Winter 2025 | Faculty: | Michael McNally | 🏫 | 👤 | ·                                                                                     Meredith McCoy | 🏫 | 👤 | Size: | 25 | Grading: | S/CR/NC | TH | Leighton 426 | 3:10pm-4:55pm"
AMST 345,Theory and Practice of American Studies,6 credits,"Introduction to some of the animating debates within American Studies from the 1930s to the present. We will study select themes, theories, and methodologies in the writings of a number of scholars and try to understand 1) the often highly contested nature of debates about how best to study American culture; and 2) how various theories and forms of analysis in American Studies have evolved and transformed themselves over the last seventy years. Not designed to be a fine-grained institutional history of American Studies, but a vigorous exploration of some of the central questions of interpretation in the field. Normally taken by majors and minors in their junior year.",Winter 2025,"IDS, Intercultural Domestic Studies | No Exploration",,CL: 300 level,"AMST
                                                 345.00 | Winter 2025 | Faculty: | Meredith McCoy | 🏫 | 👤 | Size: | 15 | T, TH | Leighton 202 | 10:10am-11:55am"
AMST 399,Senior Seminar in American Studies,3 credits,"This seminar focuses on advanced skills in American Studies research, critical reading, writing, and presentation. Engagement with one scholarly talk, keyed to the current year’s comps exam theme, will be part of the course. Through a combination of class discussion, small group work and presentations, and one-on-one interactions with the professor, majors learn the process of crafting and supporting independent interdisciplinary arguments, no matter which option for comps they are pursuing. Students also will learn effective strategies for peer review and oral presentation.",Winter 2025,No Exploration,Student has completed any of the following course(s): AMST 345 – Theory and Practice of American Studies with a grade of C- or better.,,"AMST
                                                 399.00 | Winter 2025 | Faculty: | Michael McNally | 🏫 | 👤 | Size: | 15 | T, TH | Leighton 303 | 8:15am-9:20am"
AMST 400,Integrative Exercise Colloquium,3 credits,"The American Studies comprehensive exercise takes place over Fall and Winter terms and is a colloquium process that yields an individual 12-15 pp essay and a collaborative, public facing presentation.",Winter 2025,,Student must have completed AMST 396 and is in AMST program and senior priority.,,"AMST
                                                 400.00 | Winter 2025 | Faculty: | Michael McNally | 🏫 | 👤 | Size: | 25 | Grading: | S/NC"
