Course_1,Course_2,Similarity
AFST 289,AFST 289,1.0
AFST 289,AFST 300,0.42374566
AFST 289,AMST 115,0.5269424
AFST 289,AMST 269,0.6053733
AFST 289,AMST 321,0.32091674
AFST 289,AMST 396.00,0.553266
AFST 289,ARBC 103,0.24847016
AFST 289,ARBC 206,0.023047224
AFST 289,ARBC 222,0.077546686
AFST 289,ARBC 223,-0.045706205
AFST 289,ARBC 371,0.06854025
AFST 289,ARCN 112,0.54412645
AFST 289,ARCN 222,0.29597118
AFST 289,ARTH 214,0.57500124
AFST 289,ARTH 298,0.3283055
AFST 289,ARTS 113,0.3014616
AFST 289,ARTS 122,0.34222296
AFST 289,ARTS 139,0.35940725
AFST 289,ARTS 230,0.3288289
AFST 289,ARTS 252,0.32154098
AFST 289,ARTS 262,0.25410536
AFST 289,ARTS 298,0.14374441
AFST 289,ARTS 322,0.25449806
AFST 289,ARTS 339,0.29812047
AFST 289,ARTS 374,-0.011998921
AFST 289,ASLN 111,0.25947598
AFST 289,ASST 110,-0.014189831
AFST 289,ASST 285,0.5358166
AFST 289,ASTR 113,0.28224868
AFST 289,ASTR 233,0.47764942
AFST 289,BIOC 311,0.44884107
AFST 289,BIOC 331,-0.041673284
AFST 289,BIOL 125,0.36421004
AFST 289,BIOL 126,0.2534975
AFST 289,BIOL 240,0.4543276
AFST 289,BIOL 241,0.3179056
AFST 289,BIOL 352,0.19695064
AFST 289,BIOL 353,0.55370635
AFST 289,BIOL 370,0.18212013
AFST 289,BIOL 378,0.24041486
AFST 289,CAMS 110,0.24075527
AFST 289,CAMS 111,0.1318954
AFST 289,CAMS 186,0.11450305
AFST 289,CAMS 187,0.32421649
AFST 289,CAMS 214,0.56307864
AFST 289,CAMS 229,0.24177802
AFST 289,CAMS 230,0.4016736
AFST 289,CAMS 265,0.35438868
AFST 289,CAMS 272,-0.026027001
AFST 289,CAMS 277,0.28680998
AFST 289,CCST 208,0.13221031
AFST 289,CGSC 130.00,0.33220363
AFST 289,CGSC 330,0.06543184
AFST 289,CHEM 123,0.09758177
AFST 289,CHEM 224,0.06950225
AFST 289,CHEM 234,-0.0188786
AFST 289,CHEM 300.00,-0.078296706
AFST 289,CHEM 348,0.07481921
AFST 289,CHEM 349,0.08533821
AFST 289,CHEM 351,-0.07306866
AFST 289,CHEM 352,0.3152997
AFST 289,CHEM 362,-0.22888952
AFST 289,CHIN 103,0.42997828
AFST 289,CHIN 206,0.38743943
AFST 289,CHIN 251,0.32292953
AFST 289,CHIN 358,0.05800835
AFST 289,CLAS 123,0.59251636
AFST 289,CLAS 142,0.24644685
AFST 289,CLAS 214,0.3363794
AFST 289,CLAS 240,0.48916075
AFST 289,CS 111,-0.029954994
AFST 289,CS 201,0.28605425
AFST 289,CS 202,0.108277224
AFST 289,CS 208,0.113336846
AFST 289,CS 251,-0.09329326
AFST 289,CS 252,-0.05940492
AFST 289,CS 254,0.25333518
AFST 289,CS 257,-0.056552827
AFST 289,CS 304,0.32367787
AFST 289,CS 311,0.34947306
AFST 289,CS 320,-0.0026649819
AFST 289,CS 347,0.05508032
AFST 289,CS 348,0.14583774
AFST 289,CS 361,0.19006234
AFST 289,DANC 107,0.2969463
AFST 289,DANC 148,0.40794757
AFST 289,DANC 190,0.14888716
AFST 289,DANC 200,0.4183014
AFST 289,DANC 206,0.22155334
AFST 289,DANC 208,0.20010671
AFST 289,DANC 279,0.41449445
AFST 289,DANC 309,0.4882297
AFST 289,DANC 310,0.2548104
AFST 289,DANC 350,0.12849358
AFST 289,DGAH 398,-0.04882962
AFST 289,ECON 110,0.48185104
AFST 289,ECON 111,0.48531565
AFST 289,ECON 265,0.4045173
AFST 289,ECON 269,0.6190058
AFST 289,ECON 270,0.47814533
AFST 289,ECON 274,0.38721472
AFST 289,ECON 277,0.49144343
AFST 289,ECON 280,0.6566417
AFST 289,ECON 330,0.31777233
AFST 289,ECON 331,0.34995636
AFST 289,ECON 398,0.121064045
AFST 289,EDUC 110,0.3019631
AFST 289,EDUC 242,0.2811555
AFST 289,EDUC 338,0.5337981
AFST 289,EDUC 385,0.032971308
AFST 289,EDUC 395,0.30138147
AFST 289,ENGL 109,0.058528244
AFST 289,ENGL 115,0.34577996
AFST 289,ENGL 160,0.115948796
AFST 289,ENGL 202,0.42326653
AFST 289,ENGL 209,0.2440493
AFST 289,ENGL 230,0.45303276
AFST 289,ENGL 253,0.22570193
AFST 289,ENGL 255,0.25701344
AFST 289,ENGL 268,0.18321036
AFST 289,ENGL 295,0.25777814
AFST 289,ENGL 338,0.044027176
AFST 289,ENGL 370,-0.0350171
AFST 289,ENGL 371,0.044721786
AFST 289,ENGL 395.00,0.22175398
AFST 289,EUST 101.07,0.077791
AFST 289,EUST 207,0.30689076
AFST 289,FREN 103,-0.01980706
AFST 289,FREN 208,0.02913877
AFST 289,FREN 210,0.17067492
AFST 289,FREN 245,0.44394627
AFST 289,FREN 254,0.43275145
