Course_1,Course_2,Description_1,Description_2,Similarity
"AFST 213-00 - Race, Racism, and the Beloved Community in the US","AFST 300-00 - Race, Racism, and the Beloved Community in the US","Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.",0.99887556
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",POSC 266-00 - Urban Political Economy,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","City revenue is increasingly dependent on tourism. Cities manufacture identity and entertainment, whether we think of Las Vegas or Jerusalem, Berlin or Bilbao, the ethnoscapes of Copenhagen or the red light district of Amsterdam. As cities compete in the global economy to become playgrounds for a transnational tourist class, what is the role of urban residents? Who governs? Who benefits? Short essays or exams will be required.",0.9229385
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",EDUC 242-00 - Education and Technology,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","This course will examine the increasingly prominent role that technology is playing in education, inside and outside of schools. How is technology transforming teaching and learning? What are the potential costs and benefits of relying on technology to provide educational opportunities? Is technology re-wiring our brains? And who needs brains when we have Google and ChatGPT? This course will examine the following topics, among others: digital literacy, virtual reality, cyborgs and artificial intelligence.",0.91971046
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",SOAN 240-00 - Methods of Social Research,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","When sociologists and anthropologists conduct their research, how do they know which method to choose? What assumptions guide their decision? What challenges might they encounter? What are their ethical obligations? In this course, we'll explore a diverse range of methods, from in-depth interviews to large-scale surveys and participant observation fieldwork. Students will also learn how to craft feasible research questions, select the right method, collect and analyze data, and communicate research methods effectively. This course is an essential foundation for SOAN majors, equipping students with the skills and knowledge necessary to succeed in their comps experience.",0.90895104
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",SOAN 214-00 - Neighborhoods and Cities,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","Inequalities and identities are well understood yet too often disconnected from the context of space and place. In this class, we discuss the ways that neighborhoods and cities are sites of inequality as well as identity. Neighborhoods are linked to the amount of wealth we hold; the schools we attend; the goods, services, and resources we have access to; and who our neighbors are. Neighborhoods are also spaces where identities and community are created, claimed, and contested. They can also be sites of conflict as they change through gentrification or other processes that often reflect inequalities of power, resources, and status. In this course, special attention will be paid to how race, gender and sexuality, and immigration shape inequalities and identity in neighborhoods and cities. This course will also include an academic civic engagement component, collaborating with local communities in Minnesota. The department strongly recommends that Sociology/Anthropology 110 or 111 be taken prior to enrolling in courses numbered 200 or above.",0.90383667
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",ARCN 222-00 - Exper Arch & History & Lab,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","This course offers an experiential approach to crafts, technologies, and other material practices in premodern societies. Through hands-on activities and collaborations with local craftspeople, farmers, and other experts, this course will examine and test a variety of hypotheses about how people in the past lived their lives. How did prehistoric people produce stone tools, pottery, and metal? How did ancient Greeks and Romans feed and clothe themselves? How did medieval Europeans build their homes and bury their dead? Students will answer these questions and more by actively participating in a range of experimental archaeology and experiential history projects. Lab required.",0.9033798
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",CS 311-00 - Computer Graphics,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","Scientific simulations, movies, and video games often incorporate computer-generated images of fictitious worlds. How are these worlds represented inside a computer? How are they “photographed” to produce the images that we see? What performance constraints and design trade-offs come into play? In this course we learn the basic theory and methodology of three-dimensional computer graphics, including both triangle rasterization and ray tracing. Familiarity with vectors and matrices is recommended but not required.",0.90217364
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",ARTS 298-00 - Junior Studio Art Practicum,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","Required for the studio major, and strongly recommended for the junior year, this seminar is for student artists considering lives as producers of visual culture. At the core of the course are activities that help build students’ identities as practicing artists. These include the selection and installation of artwork for the Junior Show, a presentation about their own artistic development, and studio projects in media determined by each student that serve as a bridge between media-specific studio art courses and the independent creative work they will undertake as Seniors in Comps. The course will also include reading and discussion about what it means to be an artist today, encounters with visiting artists and trips to exhibition venues in the Twin Cities.",0.8949223
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",EDUC 385-00 - Schooling and Communities,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.",This course permits licensure candidates to become more familiar with their student teaching sites through frequent observation and interaction. The course provides an opportunity to work directly in schools and community organizations related to schools and to reflect on that experience in a classroom setting. Recommended Preparation: Acceptance into Teacher Licensure Program and registration for fall student teaching.,0.8928672
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",SOAN 323-00 - Mother Earth,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","Why are so many sustainable development projects anchored around women's cooperatives? Why is poverty depicted as having a woman's face? Is the solution to the environmental crisis in the hands of women the nurturers? From overly romantic notions of stewardship to the feminization of poverty, this course aims to evaluate women's relationships with local environments and development initiatives. The course uses anthropological frameworks to evaluate case studies from around the world. The department strongly recommends that Sociology/Anthropology 110 or 111 be taken prior to enrolling in courses numbered 200 or above.",0.89055985
AFST 289-00 - Global Blackness and Social Movements,MATH 111-00 - Introduction to Calculus,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","An introduction to the differential and integral calculus. Derivatives, antiderivatives, the definite integral, applications, and the fundamental theorem of calculus.",0.96527946
AFST 289-00 - Global Blackness and Social Movements,HIST 347-00 - The Global Cold War,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","In the aftermath of the Second World War and through the 1980s, the United States and the Soviet Union competed for world dominance. This Cold War spawned hot wars, as well as a cultural and economic struggle for influence all over the globe. This course will look at the experience of the Cold War from the perspective of its two main adversaries, the U.S. and USSR, but will also devote considerable attention to South America, Asia, Africa, and the Middle East. Students will write a 20 page paper based on original research.",0.9624766
AFST 289-00 - Global Blackness and Social Movements,EDUC 338-00 - Multicultural Education,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","This course focuses on the respect for human diversity, especially as these relate to various racial, cultural and economic groups, and to women. It includes lectures and discussions intended to aid students in relating to a wide variety of persons, cultures, and life styles.",0.9606816
AFST 289-00 - Global Blackness and Social Movements,ECON 280-00 - International Trade,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","A study of international trade theories and their policy implications. Classical and neo-classical trade models, the gains from trade, the terms of trade and the distribution of income, world trade patterns, international factor movements, tariffs, and the impact of commercial policy on developing and developed countries are analyzed.",0.9592947
AFST 289-00 - Global Blackness and Social Movements,POSC 120-00 - Democracy and Dictatorship,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","An introduction to the array of different democratic and authoritarian political institutions in both developing and developed countries. We will also explore key issues in contemporary politics in countries around the world, such as nationalism and independence movements, revolution, regime change, state-making, and social movements.",0.9462225
AFST 289-00 - Global Blackness and Social Movements,PHYS 233-00 - Astrophysics II,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","A study of galactic and extragalactic astronomy with an emphasis on the physical principles underlying the observed phenomena. Topics include the structure and dynamics of the Milky Way Galaxy and other galaxies, the interstellar medium, quasars and active galaxies, clusters and superclusters, and cosmology.",0.94620836
