Course_1,Course_2,Similarity
AFST 289,AFST 289,0.99999994
AFST 289,AFST 300,0.5659214
AFST 289,AMST 115,0.63476926
AFST 289,AMST 269,0.6803285
AFST 289,AMST 321,0.3768248
AFST 289,AMST 396.00,0.5165123
AFST 289,ARBC 103,0.33585578
AFST 289,ARBC 206,0.10716382
AFST 289,ARBC 222,0.21332605
AFST 289,ARBC 223,0.019162633
AFST 289,ARBC 371,0.029003115
AFST 289,ARCN 112,0.5176599
AFST 289,ARCN 222,0.39749822
AFST 289,ARTH 214,0.46757674
AFST 289,ARTH 298,0.13064317
AFST 289,ARTS 113,0.26373205
AFST 289,ARTS 122,0.34599495
AFST 289,ARTS 139,0.34341618
AFST 289,ARTS 230,0.27393147
AFST 289,ARTS 252,0.29076695
AFST 289,ARTS 262,0.2692125
AFST 289,ARTS 298,0.018683782
AFST 289,ARTS 322,0.16329423
AFST 289,ARTS 339,0.29835457
AFST 289,ARTS 374,-0.016669132
AFST 289,ASLN 111,0.2326548
AFST 289,ASST 110,0.095392175
AFST 289,ASST 285,0.6246576
AFST 289,ASTR 113,0.3252628
AFST 289,ASTR 233,0.562136
AFST 289,BIOC 311,0.40896645
AFST 289,BIOC 331,0.030073933
AFST 289,BIOL 125,0.37987787
AFST 289,BIOL 126,0.27303684
AFST 289,BIOL 240,0.4442948
AFST 289,BIOL 241,0.14607821
AFST 289,BIOL 352,0.16664769
AFST 289,BIOL 353,0.51394653
AFST 289,BIOL 370,0.24344122
AFST 289,BIOL 378,0.26320025
AFST 289,CAMS 110,0.21794246
AFST 289,CAMS 111,0.17577712
AFST 289,CAMS 186,0.19879152
AFST 289,CAMS 187,0.30110118
AFST 289,CAMS 214,0.6576157
AFST 289,CAMS 229,0.21372257
AFST 289,CAMS 230,0.4428143
AFST 289,CAMS 265,0.39607733
AFST 289,CAMS 272,-0.010601277
AFST 289,CAMS 277,0.16909543
AFST 289,CCST 208,0.08110355
AFST 289,CGSC 130.00,0.33626097
AFST 289,CGSC 330,0.12594564
AFST 289,CHEM 123,0.20381401
AFST 289,CHEM 224,0.07943838
AFST 289,CHEM 234,-0.01937539
AFST 289,CHEM 300.00,0.012596142
AFST 289,CHEM 348,0.07878274
AFST 289,CHEM 349,0.23060755
AFST 289,CHEM 351,0.06538843
AFST 289,CHEM 352,0.32338274
AFST 289,CHEM 362,-0.06469485
AFST 289,CHIN 103,0.33518028
AFST 289,CHIN 206,0.2585838
AFST 289,CHIN 251,0.22231375
AFST 289,CHIN 358,0.04061717
AFST 289,CLAS 123,0.5335101
AFST 289,CLAS 142,0.30443737
AFST 289,CLAS 214,0.42218414
AFST 289,CLAS 240,0.501925
AFST 289,CS 111,-0.06894875
AFST 289,CS 201,0.23482291
AFST 289,CS 202,0.08843931
AFST 289,CS 208,0.118700534
AFST 289,CS 251,-0.025064243
AFST 289,CS 252,-0.059652958
AFST 289,CS 254,0.29089028
AFST 289,CS 257,-0.09940824
AFST 289,CS 304,0.29275203
AFST 289,CS 311,0.3444017
AFST 289,CS 320,0.06817244
AFST 289,CS 347,0.06209188
AFST 289,CS 348,0.10089271
AFST 289,CS 361,0.26566723
AFST 289,DANC 107,0.2951307
AFST 289,DANC 148,0.29128504
AFST 289,DANC 190,0.13181883
