Course,Most_Similar_Course,Similarity
AFST 289,HIST 205,0.7501228
AFST 289,RELG 261,0.74345464
AFST 289,HIST 308,0.7380929
AFST 300,HIST 209,0.827733
AFST 300,HIST 206,0.77892107
AFST 300,CLAS 240,0.761734
AMST 115,GWSS 398.00,0.839295
AMST 115,GWSS 110,0.76152253
AMST 115,RELG 221,0.7324088
AMST 269,RELG 344,0.7923787
AMST 269,SOAN 228,0.78712857
AMST 269,SPAN 369,0.7526572
AMST 321,FREN 255,0.8117469
AMST 321,GRK 226,0.71828806
AMST 321,RELG 265,0.6993244
AMST 396.00,POSC 120,0.7656894
AMST 396.00,RELG 213,0.7090961
AMST 396.00,CLAS 142,0.70378643
ARBC 103,ARTS 374,0.74173987
ARBC 103,DANC 309,0.71659
ARBC 103,JAPN 206,0.70631856
ARBC 206,POSC 232.02,0.79688483
ARBC 206,SPAN 103,0.7489725
ARBC 206,JAPN 206,0.74737334
ARBC 222,ARBC 223,0.7263394
ARBC 222,MUSC 127,0.6973606
ARBC 222,ARBC 103,0.67340505
ARBC 223,ARBC 222,0.7263394
ARBC 223,ARTS 374,0.6956236
ARBC 223,MATH 297,0.6672097
ARBC 371,FREN 208,0.7564887
ARBC 371,MEST 395,0.75418735
ARBC 371,ARBC 206,0.7330103
ARCN 112,RELG 221,0.79815966
ARCN 112,RELG 110,0.78882307
ARCN 112,SPAN 369,0.78657657
ARCN 222,HIST 206,0.80313075
ARCN 222,EUST 101.07,0.7405458
ARCN 222,HIST 276,0.7332289
ARTH 214,HIST 229,0.82577664
ARTH 214,POSC 252,0.6938501
ARTH 214,POSC 170,0.6545877
ARTH 298,HIST 111,0.6785302
ARTH 298,DANC 107,0.67151344
ARTH 298,DANC 279,0.6619046
ARTS 113,PHYS 342,0.77987564
ARTS 113,BIOC 311,0.69697267
ARTS 113,ASTR 113,0.68867904
ARTS 122,THEA 185,0.781064
ARTS 122,ARTS 322,0.76419413
ARTS 122,THEA 226,0.75192326
ARTS 139,ARTS 339,0.9615917
ARTS 139,ARTS 230,0.8012661
ARTS 139,THEA 185,0.76314455
ARTS 230,DANC 107,0.8232325
ARTS 230,ARTS 139,0.8012661
ARTS 230,ARTS 339,0.7755871
ARTS 252,ASTR 113,0.8351611
ARTS 252,PHYS 342,0.81001765
ARTS 252,BIOL 241,0.8052944
ARTS 262,DANC 107,0.7817082
ARTS 262,CHIN 206,0.76025957
ARTS 262,GRK 102,0.7588306
ARTS 298,DANC 206,0.76724625
ARTS 298,THEA 190,0.68634135
ARTS 298,DANC 190,0.6772846
ARTS 322,ARTS 122,0.76419413
ARTS 322,ENGL 295,0.70641476
ARTS 322,ARTS 139,0.7023556
ARTS 339,ARTS 139,0.9615917
ARTS 339,ARTS 230,0.7755871
ARTS 339,THEA 185,0.73864925
ARTS 374,CHEM 351,0.77518964
ARTS 374,SPAN 103,0.76626724
ARTS 374,ARBC 103,0.74173987
ASLN 111,JAPN 103,0.8341174
ASLN 111,GRK 102,0.8203443
ASLN 111,SPAN 103,0.8145372
ASST 110,RUSS 228F,0.6280114
ASST 110,RUSS 110,0.61871153
ASST 110,JAPN 206,0.6142315
ASST 285,RELG 110,0.82991225
ASST 285,CHIN 251,0.7574061
ASST 285,POSC 120,0.74737585
ASTR 113,STAT 230,0.8448545
ASTR 113,ARTS 252,0.8351611
ASTR 113,NEUR 239,0.8016681
ASTR 233,MATH 341,0.8710465
ASTR 233,MATH 236,0.8605702
ASTR 233,GEOL 255,0.79537416
BIOC 311,GEOL 240,0.8755834
BIOC 311,NEUR 239,0.86703557
BIOC 311,PHYS 342,0.85954344
BIOC 331,IDSC 289,0.83988243
BIOC 331,CHEM 300.00,0.729613
BIOC 331,BIOL 370,0.68509537
BIOL 125,BIOL 126,0.9683208
BIOL 125,CAMS 111,0.796856
BIOL 125,DANC 208,0.7778379
BIOL 126,BIOL 125,0.9683208
BIOL 126,CAMS 111,0.7792342
BIOL 126,DANC 208,0.7698311
BIOL 240,ECON 270,0.88960004
BIOL 240,ECON 111,0.82688797
BIOL 240,ECON 110,0.8072534
BIOL 241,BIOL 353,0.87894565
BIOL 241,PSYC 257,0.83416295
BIOL 241,PSYC 216,0.82253015
BIOL 352,PSYC 216,0.85372174
BIOL 352,PSYC 256,0.81346756
BIOL 352,PSYC 217,0.7898328
BIOL 353,BIOL 241,0.87894565
BIOL 353,CHEM 352,0.7953113
BIOL 353,PSYC 256,0.7844714
BIOL 370,CAMS 187,0.82075536
BIOL 370,NEUR 395,0.75398034
BIOL 370,NEUR 239,0.74700534
BIOL 378,PHIL 124,0.7839523
BIOL 378,EDUC 242,0.78017586
BIOL 378,RUSS 266,0.7173655
CAMS 110,ECON 398,0.80459505
CAMS 110,DANC 310,0.79746777
CAMS 110,PHYS 342,0.7786423
CAMS 111,MUSC 221,0.8373233
CAMS 111,BIOL 125,0.796856
CAMS 111,BIOL 126,0.7792342
CAMS 186,POSC 333,0.7510781
CAMS 186,CS 311,0.74786675
CAMS 186,SOAN 240,0.73619664
CAMS 187,BIOL 370,0.82075536
CAMS 187,NEUR 395,0.7294157
CAMS 187,POSC 206.00,0.67384845
CAMS 214,POSC 322,0.7567383
CAMS 214,POSC 201,0.73085225
CAMS 214,RELG 261,0.66688746
CAMS 229,CAMS 272,0.7917424
CAMS 229,CAMS 230,0.7847064
CAMS 229,MEST 395,0.7765937
CAMS 230,CAMS 229,0.7847064
CAMS 230,DANC 206,0.6826456
CAMS 230,CHIN 103,0.6781227
CAMS 265,PHYS 142,0.80952245
CAMS 265,GEOL 255,0.80221856
CAMS 265,NEUR 239,0.75804955
CAMS 272,IDSC 202,0.8010033
CAMS 272,CAMS 229,0.7917424
CAMS 272,IDSC 280,0.7826855
CAMS 277,HIST 153,0.7158266
CAMS 277,ENGL 109,0.7030641
CAMS 277,NEUR 239,0.6697469
CCST 208,ARCN 112,0.6434978
CCST 208,ARBC 223,0.63841474
CCST 208,AMST 321,0.628615
CGSC 130.00,ASTR 233,0.78792846
CGSC 130.00,CGSC 330,0.78291917
CGSC 130.00,STAT 230,0.7394461
CGSC 330,CGSC 130.00,0.78291917
CGSC 330,CS 251,0.71881175
CGSC 330,CHEM 362,0.71305907
CHEM 123,CHEM 224,0.78799784
CHEM 123,MATH 210,0.7365786
CHEM 123,MATH 120,0.718012
CHEM 224,CHEM 351,0.8660719
CHEM 224,CHEM 348,0.81409717
CHEM 224,CHEM 234,0.80591464
CHEM 234,CHEM 224,0.80591464
CHEM 234,CHEM 352,0.80236554
CHEM 234,PSYC 201,0.7966071
CHEM 300.00,IDSC 289,0.82987523
CHEM 300.00,NEUR 395,0.7832683
CHEM 300.00,IDSC 202,0.75971717
CHEM 348,CHEM 224,0.81409717
CHEM 348,ASTR 113,0.76594263
CHEM 348,PSYC 201,0.7623062
CHEM 349,CHEM 352,0.89540166
CHEM 349,THEA 110,0.787134
CHEM 349,ECON 110,0.786026
CHEM 351,CHEM 224,0.8660719
CHEM 351,MATH 331,0.78285253
CHEM 351,ARTS 374,0.77518964
CHEM 352,CHEM 349,0.89540166
CHEM 352,THEA 110,0.82379293
CHEM 352,PHYS 145,0.8033063
CHEM 362,CHEM 351,0.75354207
CHEM 362,CS 251,0.71525973
CHEM 362,CGSC 330,0.71305907
CHIN 103,RUSS 309,0.79816014
CHIN 103,RUSS 110,0.78431785
