source node,target node,similarity score,desc1,desc2
"AFST 213-00 - Race, Racism, and the Beloved Community in the US","AFST 300-00 - Race, Racism, and the Beloved Community in the US",0.9982609,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213."
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",POSC 266-00 - Urban Political Economy,0.94505024,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","City revenue is increasingly dependent on tourism. Cities manufacture identity and entertainment, whether we think of Las Vegas or Jerusalem, Berlin or Bilbao, the ethnoscapes of Copenhagen or the red light district of Amsterdam. As cities compete in the global economy to become playgrounds for a transnational tourist class, what is the role of urban residents? Who governs? Who benefits? Short essays or exams will be required."
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",PHIL 124-00 - Friendship,0.9390322,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","What is friendship? Are there different types of friendships? What makes a friendship good? While this course will familiarize you with a variety of scholarly views on friendship from both historically canonical and contemporary sources, our main goal is to become more reflective about our lived experience of friendship here and now."
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",EDUC 242-00 - Education and Technology,0.93766814,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","This course will examine the increasingly prominent role that technology is playing in education, inside and outside of schools. How is technology transforming teaching and learning? What are the potential costs and benefits of relying on technology to provide educational opportunities? Is technology re-wiring our brains? And who needs brains when we have Google and ChatGPT? This course will examine the following topics, among others: digital literacy, virtual reality, cyborgs and artificial intelligence."
"AFST 213-00 - Race, Racism, and the Beloved Community in the US","POSC 315-00 - Polarization, Parties & Power",0.9366437,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","The United States is more politically polarized today than at any time since the late nineteenth century, leaving lawmakers, journalists, and experts increasingly concerned that the toxicity in our politics is making the country vulnerable to political instability, violence, and democratic decline. Moreover, citizens are increasingly willing to call into question the legitimacy of this country’s core electoral and governing institutions. How did the U.S. get to this point? What can be done about it? This course will examine political polarization as a central feature of American politics and the consequences for American democracy."
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",CS 311-00 - Computer Graphics,0.93371475,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","Scientific simulations, movies, and video games often incorporate computer-generated images of fictitious worlds. How are these worlds represented inside a computer? How are they “photographed” to produce the images that we see? What performance constraints and design trade-offs come into play? In this course we learn the basic theory and methodology of three-dimensional computer graphics, including both triangle rasterization and ray tracing. Familiarity with vectors and matrices is recommended but not required."
"AFST 213-00 - Race, Racism, and the Beloved Community in the US","RELG 213-00 - Religion, Medicine, & Healing",0.9316157,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","How do religion and medicine approach the healing of disease and distress? Are religion and medicine complementary or do they conflict? Is medicine a more evolved form of religion, shorn of superstition and pseudoscience? This course explores religious and cultural models of health and techniques for achieving it, from ancient Greece to Christian monasteries to modern mindfulness and self-care programs. We will consider ethical quandaries about death, bodily suffering, mental illness, miraculous cures, and individual agency, all the while seeking to avoid simplistic narratives of rationality and irrationality."
AFST 289-00 - Global Blackness and Social Movements,BIOL 240-00 - Genetics,0.9658913,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","A study of the transmission of genetic information between generations of organisms, and of the mechanism of expression of information within an individual organism. The main emphasis will be on the physical and chemical basis of heredity; mutational, transmissional and functional analysis of the genetic material, and gene expression."
AFST 289-00 - Global Blackness and Social Movements,ECON 331-00 - Intermediate Macro Theory,0.9542598,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","Analysis of the forces determining the general level of output, employment, and prices with special emphasis on the role of money and on interest rate determination. This class is normally taken by juniors. Sophomores considering enrolling should speak to the instructor."
AFST 289-00 - Global Blackness and Social Movements,HIST 347-00 - The Global Cold War,0.94979227,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","In the aftermath of the Second World War and through the 1980s, the United States and the Soviet Union competed for world dominance. This Cold War spawned hot wars, as well as a cultural and economic struggle for influence all over the globe. This course will look at the experience of the Cold War from the perspective of its two main adversaries, the U.S. and USSR, but will also devote considerable attention to South America, Asia, Africa, and the Middle East. Students will write a 20 page paper based on original research."
