source node,target node,similarity score
AFST 289,HIST 205,0.78473806
AFST 289,HIST 308,0.7576215
AFST 289,POSC 120,0.74913585
AFST 300,AFST 300,0.9999999
AFST 300,HIST 209,0.8012701
AFST 300,HIST 206,0.79126877
AFST 300,CLAS 240,0.76335615
AMST 115,GWSS 398.00,0.8529979
AMST 115,RELG 344,0.807754
AMST 115,HIST 229,0.77279097
AMST 269,SOAN 228,0.7927368
AMST 269,RELG 344,0.75049424
AMST 269,SPAN 369,0.7179083
AMST 321,FREN 255,0.86433536
AMST 321,RUSS 228,0.70514506
AMST 321,CLAS 214,0.7009588
AMST 396.00,RELG 213,0.7331047
AMST 396.00,MATH 342,0.72822225
AMST 396.00,POSC 120,0.7143356
ARBC 103,ARBC 103,0.9999999
ARBC 103,ARTS 374,0.72143066
ARBC 103,RUSS 228F,0.7155377
ARBC 206,ARBC 206,0.99999994
ARBC 206,POSC 232.02,0.7899519
ARBC 206,SPAN 103,0.74368304
ARBC 222,ARBC 223,0.6816378
ARBC 222,MUSC 127,0.6776026
ARBC 222,MUSC 227,0.6514311
ARBC 223,ARBC 223,0.9999999
ARBC 223,ARBC 222,0.6816378
ARBC 223,ENGL 395.00,0.6710731
ARBC 371,MEST 395,0.78047967
ARBC 371,CAMS 229,0.74641544
ARBC 371,CAMS 272,0.7062583
ARCN 112,SPAN 369,0.86591715
ARCN 112,PSYC 382,0.8228587
ARCN 112,RELG 221,0.81411225
ARCN 112,RELG 110,0.79518247
ARCN 222,HIST 206,0.7697687
ARCN 222,EUST 101.07,0.69236535
ARCN 222,HIST 276,0.6870451
ARTH 214,HIST 229,0.81223685
ARTH 214,POSC 170,0.6838227
ARTH 214,GWSS 110,0.64434224
ARTH 298,ARTH 298,0.9999999
ARTH 298,DANC 279,0.70613545
ARTH 298,HEBR 102,0.6477109
ARTS 113,PHYS 342,0.7475313
ARTS 113,ARTS 252,0.709287
ARTS 113,ASTR 113,0.6833552
ARTS 122,ARTS 122,0.9999999
ARTS 122,THEA 185,0.7734619
ARTS 122,ARTS 322,0.76596606
ARTS 139,ARTS 339,0.9700778
ARTS 139,ARTS 230,0.82746685
ARTS 139,THEA 185,0.8047672
ARTS 139,MUSC 221,0.775244
ARTS 230,ARTS 230,0.99999994
ARTS 230,ARTS 139,0.82746685
ARTS 230,ARTS 339,0.81456923
ARTS 230,DANC 107,0.80886084
ARTS 230,CAMS 110,0.76190877
ARTS 230,NEUR 239,0.75328946
ARTS 252,ASTR 113,0.8173922
ARTS 252,PHYS 342,0.8140893
ARTS 252,GEOL 255,0.7987898
ARTS 252,CAMS 111,0.79359597
ARTS 252,NEUR 395,0.7921569
ARTS 252,BIOL 241,0.7832528
ARTS 252,CAMS 265,0.76636404
ARTS 262,ARTS 262,0.99999994
ARTS 262,GRK 102,0.84475
ARTS 262,JAPN 103,0.7931404
ARTS 262,CHIN 206,0.792682
ARTS 262,NEUR 239,0.77116776
ARTS 262,DANC 107,0.768505
ARTS 262,DANC 310,0.7617783
ARTS 298,ARTS 298,0.99999994
ARTS 298,DANC 206,0.7121015
ARTS 298,THEA 190,0.6681368
ARTS 322,ARTS 122,0.76596606
ARTS 322,ARTS 139,0.71421933
ARTS 322,ENGL 295,0.70050174
ARTS 339,ARTS 139,0.9700778
ARTS 339,ARTS 230,0.81456923
ARTS 339,MUSC 221,0.76364934
ARTS 339,DANC 310,0.76324666
ARTS 339,THEA 185,0.7577305
ARTS 374,SPAN 103,0.778028
ARTS 374,FREN 103,0.7633367
ARTS 374,LATN 103,0.75454766
ARTS 374,CHEM 351,0.7542431
ASLN 111,JAPN 103,0.7998089
ASLN 111,GRK 102,0.7710606
ASLN 111,SPAN 103,0.75744367
ASST 110,ASST 110,0.99999994
ASST 110,RUSS 228F,0.6803439
ASST 110,CAMS 186,0.6332714
ASST 285,RELG 110,0.827501
ASST 285,POSC 120,0.7524241
ASST 285,POSC 170,0.73358715
ASTR 113,ASTR 113,0.9999999
ASTR 113,GEOL 255,0.82987684
ASTR 113,ARTS 252,0.8173922
ASTR 113,NEUR 395,0.8110051
ASTR 113,STAT 230,0.791188
ASTR 113,THEA 185,0.78743047
ASTR 113,NEUR 239,0.76947594
ASTR 233,MATH 236,0.869247
ASTR 233,MATH 341,0.8676891
ASTR 233,CGSC 130.00,0.76851994
ASTR 233,PHYS 235,0.763902
ASTR 233,MATH 111,0.7626557
ASTR 233,GEOL 255,0.75988275
ASTR 233,BIOL 353,0.75528896
BIOC 311,BIOC 311,0.9999998
BIOC 311,GEOL 240,0.91279763
BIOC 311,NEUR 239,0.8210518
BIOC 311,ECON 110,0.7990199
BIOC 311,PHYS 342,0.7830172
BIOC 311,ECON 265,0.7624924
BIOC 331,IDSC 289,0.8593363
BIOC 331,CHEM 362,0.7025289
BIOC 331,SPAN 205,0.68618494
BIOL 125,BIOL 125,0.9999999
BIOL 125,BIOL 126,0.9357059
BIOL 125,CAMS 111,0.7659424
BIOL 125,ARTS 252,0.7615907
BIOL 125,DANC 208,0.7569036
BIOL 126,BIOL 125,0.9357059
BIOL 126,DANC 208,0.79155844
BIOL 126,ARTS 252,0.7503438
BIOL 240,ECON 270,0.9196394
BIOL 240,ECON 111,0.83986694
BIOL 240,ECON 110,0.81265324
BIOL 240,ECON 330,0.75788546
BIOL 241,BIOL 353,0.9009907
BIOL 241,CHEM 349,0.8864272
BIOL 241,JAPN 103,0.8232211
BIOL 241,PSYC 216,0.78403026
BIOL 241,ARTS 252,0.7832528
BIOL 241,CHEM 352,0.7828672
BIOL 241,PSYC 256,0.7817403
BIOL 352,BIOL 352,0.9999999
BIOL 352,PHYS 352,0.8126973
BIOL 352,MATH 331,0.78009415
BIOL 352,PSYC 216,0.7770542
BIOL 352,STAT 120,0.7656972
BIOL 353,BIOL 353,0.99999994
BIOL 353,BIOL 241,0.9009907
BIOL 353,CHEM 349,0.8066497
BIOL 353,JAPN 103,0.78351665
BIOL 353,ASTR 233,0.75528896
BIOL 353,CHEM 352,0.75248694
BIOL 370,DANC 310,0.7857769
BIOL 370,NEUR 239,0.74369335
BIOL 370,CHEM 300.00,0.7306711
BIOL 378,PHIL 124,0.7813857
BIOL 378,EDUC 242,0.76691556
BIOL 378,EDUC 110,0.7517389
CAMS 110,CAMS 110,0.99999994
CAMS 110,ECON 398,0.8444275
CAMS 110,CAMS 229,0.7869735
CAMS 110,CAMS 265,0.77225035
CAMS 110,DANC 310,0.76949984
CAMS 110,ARTS 230,0.76190877
CAMS 110,PHYS 342,0.7517995
CAMS 111,ARTS 252,0.79359597
CAMS 111,MUSC 221,0.78259254
CAMS 111,BIOL 125,0.7659424
CAMS 186,POSC 333,0.7374408
CAMS 186,CS 311,0.7303478
CAMS 186,EDUC 338,0.7301549
CAMS 187,CAMS 187,0.99999994
CAMS 187,BIOL 370,0.7197197
CAMS 187,NEUR 395,0.7053916
CAMS 214,POSC 322,0.7521785
CAMS 214,POSC 201,0.72371036
CAMS 214,CAMS 265,0.68807
CAMS 229,CAMS 229,0.99999994
CAMS 229,CAMS 272,0.8249738
CAMS 229,CAMS 110,0.7869735
CAMS 229,CAMS 230,0.77189887
CAMS 229,RUSS 228F,0.75810695
CAMS 230,CAMS 229,0.77189887
CAMS 230,HIST 347,0.7144279
CAMS 230,RUSS 228F,0.69585204
CAMS 265,CAMS 265,0.9999998
CAMS 265,GEOL 255,0.79717046
CAMS 265,CAMS 110,0.77225035
CAMS 265,NEUR 239,0.7680103
