Course,First Node Count,Second Node Count
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",4,4
AFST 289-00 - Global Blackness and Social Movements,4,4
"AFST 300-00 - Race, Racism, and the Beloved Community in the US",5,5
AMST 115-00 - Intro to American Studies,5,5
AMST 269-00 - Woodstock Nation,11,11
AMST 321-00 - Indigenous Chicago: Indigenous Histories and Futures in Zhegagoynak,3,3
AMST 396-00 - Junior Research Seminar (Producing Latinidad),9,9
ARBC 103-00 - Elementary Arabic,8,8
ARBC 206-00 - Arabic in Cultural Context,3,3
ARBC 222-00 - Music in the Middle East,5,5
ARCN 112-00 - Native North America,8,8
ARCN 222-00 - Exper Arch & History & Lab,11,11
ARTH 214-00 - Queer Art,4,4
ARTH 216-00 - Revolutionary Image Regimes: Curating Middle Eastern Photographs and Prints after the Digital Turn,13,13
ARTH 257-00 - Modern Art and the Museum in the Middle East,4,4
ARTH 298-00 - The History of Art History,4,4
ARTS 113-01 - Field Drawing,9,9
ARTS 122-00 - Introduction to Sculpture,8,8
ARTS 139-00 - Beginning Photography,6,6
ARTS 230-01 - Ceramics: Throwing,13,13
ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,14,14
ARTS 262-00 - Watercolor,7,7
ARTS 298-00 - Junior Studio Art Practicum,6,6
ARTS 322-00 - Sculpture 2: Form & Context,4,4
ARTS 339-00 - Advanced Photography,8,8
ARTS 374-00 - Advanced Printmaking,3,3
ASLN 111-00 - Writing Systems,7,7
ASST 110-00 - Elementary Hindi/Urdu,8,8
"ASST 285-00 - Mapping Japan, Real & Imagined",10,10
ASTR 233-00 - Astrophysics II,16,16
BIOC 331-00 - Current Topics in Biochemistry,7,7
BIOL 240-00 - Genetics,9,9
BIOL 352-00 - Population Ecology,9,9
BIOL 370-00 - Seminar: Slct Tpcs in Virology,8,8
BIOL 378-00 - Seminar: Orig & Early Evol Life,6,6
CAMS 110-00 - Introduction to Cinema and Media Studies,5,5
CAMS 111-01 - Intro to Cinema & Media Production,9,9
CAMS 186-00 - Film Genres,4,4
CAMS 187-00 - Cult TV and Fan Cultures,5,5
CAMS 214-00 - Film History III,12,12
CAMS 265-00 - Sound Design,8,8
CGSC 130-00 - Introduction to Cogntive Science (Revolutions in Mind),10,10
CGSC 330-00 - Embodied Cognition,6,6
CHEM 122-00 - Introduction to Chemistry,4,4
CHEM 348-00 - Intro to Computational Chem,5,5
CHEM 351-00 - Inorganic Chemistry,7,7
CHEM 362-00 - Chemistry at the Nanoscale,12,12
CHIN 103-00 - Elementary Chinese,13,13
CHIN 206-00 - Chinese in Cultural Context,11,11
CHIN 251-00 - Chinese Biographical Histories,3,3
CHIN 358-00 - Advanced Chinese: Everyday Life in Ancient China,6,6
CLAS 123-00 - Greek Archaeology and Art,8,8
CLAS 142-00 - Being an Heir,8,8
CLAS 214-00 - Gender & Sexlty Classicl Antiqty,7,7
CLAS 240-00 - Rome: Village to Superpower,8,8
CS 111-01 - Intro to Computer Science,7,7
CS 201-01 - Data Structures,4,4
CS 202-00 - Math of Computer Science,3,3
CS 208-01 - Intro to Computer Systems,9,9
CS 251-00 - Programming Languages: Design and Implementation,3,3
CS 252-00 - Algorithms,3,3
CS 254-00 - Computability and Complexity,4,4
