source node,target node,similarity score,desc1,desc2,most_similar_word
"AFST 213-00 - Race, Racism, and the Beloved Community in the US","AFST 300-00 - Race, Racism, and the Beloved Community in the US",0.9973328,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","[('it', 0.6775559782981873)]"
"AFST 300-00 - Race, Racism, and the Beloved Community in the US","AFST 213-00 - Race, Racism, and the Beloved Community in the US",0.9973328,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","[('it', 0.6775559782981873)]"
"AFST 213-00 - Race, Racism, and the Beloved Community in the US","POSC 315-00 - Polarization, Parties & Power",0.94206226,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","The United States is more politically polarized today than at any time since the late nineteenth century, leaving lawmakers, journalists, and experts increasingly concerned that the toxicity in our politics is making the country vulnerable to political instability, violence, and democratic decline. Moreover, citizens are increasingly willing to call into question the legitimacy of this country’s core electoral and governing institutions. How did the U.S. get to this point? What can be done about it? This course will examine political polarization as a central feature of American politics and the consequences for American democracy.","[('onthe', 0.5174295902252197)]"
"POSC 315-00 - Polarization, Parties & Power","AFST 213-00 - Race, Racism, and the Beloved Community in the US",0.94206226,"The United States is more politically polarized today than at any time since the late nineteenth century, leaving lawmakers, journalists, and experts increasingly concerned that the toxicity in our politics is making the country vulnerable to political instability, violence, and democratic decline. Moreover, citizens are increasingly willing to call into question the legitimacy of this country’s core electoral and governing institutions. How did the U.S. get to this point? What can be done about it? This course will examine political polarization as a central feature of American politics and the consequences for American democracy.","Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","[('onthe', 0.5174295902252197)]"
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",PHIL 124-00 - Friendship,0.93959326,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","What is friendship? Are there different types of friendships? What makes a friendship good? While this course will familiarize you with a variety of scholarly views on friendship from both historically canonical and contemporary sources, our main goal is to become more reflective about our lived experience of friendship here and now.","[(""'re"", 0.6933369636535645)]"
PHIL 124-00 - Friendship,"AFST 213-00 - Race, Racism, and the Beloved Community in the US",0.93959326,"What is friendship? Are there different types of friendships? What makes a friendship good? While this course will familiarize you with a variety of scholarly views on friendship from both historically canonical and contemporary sources, our main goal is to become more reflective about our lived experience of friendship here and now.","Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights. Offered at both the 200 and 300 levels; coursework will be adjusted accordingly. Students who have previously taken any AFST course should register for AFST 300; students who have not should register for AFST 213.","[(""'re"", 0.6933369636535645)]"
AFST 289-00 - Global Blackness and Social Movements,BIOL 240-00 - Genetics,0.9577519,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","A study of the transmission of genetic information between generations of organisms, and of the mechanism of expression of information within an individual organism. The main emphasis will be on the physical and chemical basis of heredity; mutational, transmissional and functional analysis of the genetic material, and gene expression.","[('really', 0.640460729598999)]"
BIOL 240-00 - Genetics,AFST 289-00 - Global Blackness and Social Movements,0.9577519,"A study of the transmission of genetic information between generations of organisms, and of the mechanism of expression of information within an individual organism. The main emphasis will be on the physical and chemical basis of heredity; mutational, transmissional and functional analysis of the genetic material, and gene expression.","This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","[('really', 0.640460729598999)]"
AFST 289-00 - Global Blackness and Social Movements,ARTH 298-00 - The History of Art History,0.9475422,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.",An intensive study of the nature of art history as an intellectual discipline and of the approaches scholars have taken to various art historical problems. Attention as well to principles of current art historical research and writing. Recommended for juniors who have declared art history as a major or a minor.,"[('5', 0.6542618274688721)]"
ARTH 298-00 - The History of Art History,AFST 289-00 - Global Blackness and Social Movements,0.9475422,An intensive study of the nature of art history as an intellectual discipline and of the approaches scholars have taken to various art historical problems. Attention as well to principles of current art historical research and writing. Recommended for juniors who have declared art history as a major or a minor.,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","[('5', 0.6542618274688721)]"
AFST 289-00 - Global Blackness and Social Movements,HIST 347-00 - The Global Cold War,0.9464812,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","In the aftermath of the Second World War and through the 1980s, the United States and the Soviet Union competed for world dominance. This Cold War spawned hot wars, as well as a cultural and economic struggle for influence all over the globe. This course will look at the experience of the Cold War from the perspective of its two main adversaries, the U.S. and USSR, but will also devote considerable attention to South America, Asia, Africa, and the Middle East. Students will write a 20 page paper based on original research.","[(""'ll"", 0.5508966445922852)]"
