Similarity,Department_1,Department_2
0.94790035,FREN,SOAN
0.9148719,CLAS,HIST
0.9019556,ASLN,GRK
0.89915854,GRK,SOAN
0.897468,GRK,LATN
0.8949639,CS,STAT
0.8918752,CGSC,PHYS
0.87726605,LATN,SOAN
0.87627983,CAMS,ECON
0.8736817,ASTR,CAMS
0.86999506,AFST,PHYS
0.8646955,PSYC,STAT
0.86431617,ASTR,PHYS
0.86312187,ARCN,HIST
0.86101496,DANC,STAT
0.86000866,PHYS,STAT
0.85973495,ARTH,HIST
0.85698986,CHIN,MATH
0.85634387,PSYC,SPAN
0.85618025,CS,MATH
0.85441554,BIOC,NEUR
0.8540235,ASTR,GEOL
0.85319716,ARBC,SOAN
0.8511401,CHIN,JAPN
0.8475978,ARBC,JAPN
0.8475859,CHIN,ECON
0.844714,BIOC,PHYS
0.84449893,CHIN,RELG
0.844163,ASLN,FREN
0.84359396,ECON,GEOL
0.8421299,CAMS,STAT
0.83995736,AMST,RELG
0.8396528,ARCN,GWSS
0.8389342,ASTR,NEUR
0.83878183,FREN,GRK
0.8368475,MEST,RUSS
0.8363507,EDUC,ENGL
0.8318696,ARBC,PSYC
0.83168674,DANC,NEUR
0.8310099,FREN,LATN
0.830436,LTAM,RELG
0.8279984,CLAS,GERM
0.82558435,ASLN,SOAN
0.82548493,JAPN,PHYS
0.82400423,CAMS,PHYS
0.821634,ASLN,LATN
0.8209876,ASLN,ASTR
0.8199008,CLAS,POSC
0.8196791,GERM,JAPN
0.8173376,BIOL,DANC
0.81728065,GRK,JAPN
0.8172284,ASLN,PHYS
0.81640476,ARCN,CLAS
0.8130763,CHIN,PSYC
0.8123292,CLAS,PSYC
0.81201583,GWSS,RELG
0.81106865,IDSC,SPAN
0.8095609,EUST,MEST
0.80614084,CS,PSYC
0.805366,MATH,PHYS
0.8049619,IDSC,RUSS
0.8049078,ARBC,RUSS
0.8042631,BIOC,GEOL
0.8041549,LTAM,SPAN
0.8033541,EUST,RUSS
0.80334276,LTAM,THEA
0.80325985,DANC,ECON
0.8014853,BIOL,CAMS
0.8012554,IDSC,NEUR
0.8003989,JAPN,RELG
0.7994351,AMST,ASST
0.79914445,GWSS,HIST
0.7975228,ARCN,PSYC
0.7973915,CGSC,MATH
0.7973204,CAMS,NEUR
0.796372,GRK,SPAN
0.796244,CS,PHYS
0.7959331,MATH,SPAN
0.7957381,ENGL,MUSC
0.79550827,CLAS,ENGL
0.79502964,ARBC,LATN
0.7945683,ARTS,CAMS
0.7930068,BIOC,PSYC
0.79289037,EDUC,THEA
0.79174197,GEOL,PHYS
0.7917336,BIOC,STAT
0.7912799,JAPN,LATN
0.79086214,ECON,PHYS
0.7902166,CLAS,GWSS
0.78981173,JAPN,MUSC
0.78939915,ARCN,RELG
0.78925204,ARBC,FREN
0.7892342,PHIL,POSC
0.7868546,ASTR,STAT
0.78674734,HEBR,STAT
0.7856493,CGSC,LATN
0.7847984,DGAH,THEA
0.78436387,AMST,HIST
0.78365785,AFST,IDSC
0.7828713,CGSC,CHEM
0.7815211,ASLN,JAPN
0.78077346,GERM,NEUR
0.7803216,ARBC,CAMS
0.7797542,ASTR,PSYC
0.7796844,LATN,PHYS
0.7794084,HEBR,NEUR
0.77902985,CS,SPAN
0.77895844,AFST,RELG
0.77862173,HEBR,SPAN
0.77854306,ASTR,CS
0.7775686,BIOL,ENGL
0.7771705,LATN,MUSC
0.77655303,EDUC,PHIL
0.77605444,DANC,HEBR
0.77586704,LTAM,PSYC
0.7753402,ASTR,BIOC
0.77489114,ASTR,CHEM
0.7746348,DGAH,RELG
0.7741337,DGAH,PSYC
0.7740112,JAPN,MATH
0.77228683,CHEM,MATH
