Course_1,Course_2,Description_1,Description_2,Similarity,Markus_Score,Charlie_Score,Tiebreak
POSC 333,ENGL 395.00,"This course is about the relationship between social changes and ecological changes to understand and to be able to advance analytical concepts, research methods, and theories of society-nature interactions. How do livelihoods of individuals and groups change over time and how do the changes affect ecological sustainability? What are the roles of human institutions in ecological sustainability? What are the roles of ecosystem dynamics in institutional sustainability? Students will learn fundamental theories and concepts that explain linkages between social change and environmental changes and gain methods and skills to measure social changes qualitatively and quantitatively.Extra Time required.","Written in 1816 when she was only eighteen years old, Mary Shelley’s brilliant and controversialFrankensteinhas not only lived on but has sparked two centuries’ worth of adaptations, interpretations, and creative re-imaginings, including recent fiction by Saadawi, McGill, and Tsai, an essay on transgender rage by Stryker, episodes ofBlack Mirror, and the novel and filmPoor Things.  We’ll study how several such radical revisions of the novel explore and extend its prescient themes of gender, sexuality, monstrosity, race, the ethics of science, women’s rights, and social justice.",0.0889759,0,0,
RELG 261,SOAN 214,"From colonial times when Muslims were brought to America as slaves, to the aftermath of the Spanish-American War when the United States found itself ruling over a large Muslim population in the Philippines, to the more recent War on Terror, Muslims and Islam have long been entangled in the politics of race and empire in America. This course will examine these entanglements through primary and secondary sources to better understand the role that race, religion, and empire have played in the forging of American Islam today.","Inequalities and identities are well understood yet too often disconnected from the context of space and place. In this class, we discuss the ways that neighborhoods and cities are sites of inequality as well as identity. Neighborhoods are linked to the amount of wealth we hold; the schools we attend; the goods, services, and resources we have access to; and who our neighbors are. Neighborhoods are also spaces where identities and community are created, claimed, and contested. They can also be sites of conflict as they change through gentrification or other processes that often reflect inequalities of power, resources, and status. In this course, special attention will be paid to how race, gender and sexuality, and immigration shape inequalities and identity in neighborhoods and cities. This course will also include an academic civic engagement component, collaborating with local communities in Minnesota.The department strongly recommends that Sociology/Anthropology 110 or 111 be taken prior to enrolling in courses numbered 200 or above.",0.53806764,1,1,
EDUC 242,SOAN 262,"This course will examine the increasingly prominent role that technology is playing in education, inside and outside of schools. How is technology transforming teaching and learning? What are the potential costs and benefits of relying on technology to provide educational opportunities? Is technology re-wiring our brains? And who needs brains when we have Google and ChatGPT? This course will examine the following topics, among others: digital literacy, virtual reality, cyborgs and artificial intelligence.","An ethnographic approach to beliefs and practices regarding health and illness in numerous societies worldwide. This course examines patients, practitioners, and the social networks and contexts through which therapies are managed to better understand medical systems as well as the significance of the anthropological study of misfortune. Specific topics include the symbolism of models of illness, the ritual management of misfortune and of life crisis events, the political economy of health, therapy management, medical pluralism, and cross-cultural medical ethics.The department strongly recommends that Sociology/Anthropology 110 or 111 be taken prior to enrolling in courses numbered 200 or above.",0.21199143,0,0,
POSC 232.02,LING 319,"This political science lab will train students interested in conducting social science research in Spanish on Latin America or Spain. All reading and audio visual materials used in this course will be in Spanish. Students will exercise and receive further training in their ability to read both qualitative and quantitative scholarship, access official and scholarly databases, read and discuss primary materials such as presidential speeches and interviews with political leaders, as well as journalistic sources. All discussion and instruction will be conducted in Spanish.","Participants in this course learn how to design and conduct sociolinguistic research, with a focus on the varieties of English spoken in Minnesota. After an introduction to the quantitative sociolinguistic methods used to obtain large data sets of naturalistic speech (publicly available data, online questionnaires, individual and group interviews, and ethnography), participants design studies investigating the status of a phonetic or phonological linguistic variable typically attributed to regional Englishes. The course culminates in a pilot study assessing the status of these variables in the speech of Minnesotans.",0.593139,1,1,
POSC 231,FREN 359,"An introduction to the actors and processes of American foreign policymaking and to the substance of American foreign policy. The course aims to provide students with an understanding of how knowledge of the past, the global policy environment, the processes of foreign policymaking, and the specifics of a foreign policy issue come together to help determine modern American foreign policy. The course will review the structure of the international system of states, state power and interests, the historical context of American foreign policy, actors in American foreign affairs, models of foreign policy decision making, and the instruments of foreign policy. Recommended preparation: POSC 122, AP American Government or AP U.S. History.","Through literature, cultural texts, and experiential learning in the city, this course will explore the development of both the “Frenchness” and the hybridity that constitute contemporary Paris. Immigrant cultures, notably North African, will also be highlighted. Plays, music, and visits to cultural sites will complement the readings.Requires participation in OCS Program: French and Francophone Studies in Paris",0.4022877,0,0,
THEA 309,ARTH 298,"This interdisciplinary course, taught in conjunction with a full-scale Carleton Players production, will explore one of Shakespeare’s greatest and most complex works,Twelfth Night. We will investigate the play’s historical, social, and theatrical contexts as we try to understand not only the world that produced the play, but the world that came out of it. How should what we learn of the past inform a modern production? How can performance offer interpretive arguments about the play’s meanings? Taken at the 300 level, this course requires a major scholarly or creative term-long project.Instructor consent required",An intensive study of the nature of art history as an intellectual discipline and of the approaches scholars have taken to various art historical problems. Attention as well to principles of current art historical research and writing. Recommended for juniors who have declared art history as a major or a minor.,0.012343222,0,0,
ECON 277,HIST 116,"This course provides a historical perspective on financial crises and highlights their main empirical patterns. This course also introduces economic theories of financial crises, in which leverage, moral hazard, mistaken beliefs, and coordination problems play a central role. We will also discuss some policy instruments used to balance risk exposure, such as deposit insurance, collective action clauses, exchange controls, and foreign reserves.","Many Americans grow up with a fictionalized view of Indigenous people (sometimes also called Native Americans/American Indians, Alaska Natives, and Native Hawaiians within the U.S. context). Understanding Indigenous peoples’ histories, presents, and possible futures requires moving beyond these stereotypes and listening to Indigenous perspectives. In this class, we will begin to learn about Indigenous peoples across Turtle Island and the Pacific through tribal histories, legislation, Supreme Court cases, and personal narratives. The course will focus on the period from 1887 to 2018 with major themes including (among others) agency, resistance, resilience, settler colonialism, discrimination, and structural racism.",0.51042026,0,1,0
THEA 209,STAT 285,"This interdisciplinary course, taught in conjunction with a full-scale Carleton Players production, will explore one of Shakespeare’s greatest and most complex works,Twelfth Night. We will investigate the play’s historical, social, and theatrical contexts as we try to understand not only the world that produced the play, but the world that came out of it. How should what we learn of the past inform a modern production? How can performance offer interpretive arguments about the play’s meanings? Mixing embodied and experiential learning, individual and group projects may involve dramaturgy, stagecraft, literary analysis, music, and research in Special Collections.","Students will apply their statistical knowledge by analyzing data problems solicited from the Northfield community. Students will also learn basic consulting skills, including communication and ethics.All interested students are encouraged to add to the waitlist and the instructor will reach out after registration. This course is repeatable, but if the instructor cannot admit every student on the waitlist, priority will be given first to Statistics majors who have not previously taken the course and then to other students who have not taken the course.",0.31490457,0,0,
PHIL 210,IDSC 298,"The study of formal logic has obvious and direct applicability to a wide variety of disciplines (including mathematics, computer science, linguistics, philosophy, cognitive science, and many others). Indeed, the study of formal logic helps us to develop the tools and know-how to think more clearly about arguments and logical relationships in general; and arguments and logical relationships form the backbone of any rational inquiry. In this course we will focus on propositional logic and predicate logic, and look at the relationship that these have to ordinary language and thought.",This colloquium is designed for sophomore students participating in the Focusing on Cultivating Scientists program. It will provide an opportunity to participate in STEM-based projects on campus and in the community. The topics of this project-based colloquium will vary each term.Open only to students who completed IDSC 198,0.101840824,0,1,0
MATH 297,ENGL 370,"An independent study course intended for students who have completed an external activity related to the mathematics major (for example, an internship or an externship) to communicate (both in written and oral forms) and assess their mathematical learning from that activity.Permission of department chair and homework in advance of the external mathematical activity.",An advanced course in the writing of fiction. Students will write three to four short stories or novel chapters which will be read and critiqued by the class.,0.4249502,0,0,
PHIL 289,CCST 208,"We’re all going to die. We all know that. But we seem to spend a lot of our lives avoiding thinking and talking about it. This course aims to remedy that. We will meet weekly to talk about death. Students will engage with an array of media (readings, speeches, documentaries) that deal with death and dying, both in America and abroad. We will partake in various activities that help us think about death in abstract, the death of those we love, and our own death. Be ready to talk and to listen! We’ll provide the Kleenex.Spring Term Sophomore Priority","Have you recently returned from studying or living abroad? This course is designed to help you keep in touch with the culture you left behind, while deepening your understanding of current issues across the globe. Relying on magazines and newspapers in the local language or in English-language media, students will discuss common topics and themes as they play out in the countries or regions where they have lived or studied. Conducted in English. Recommended preparation: Participation in an off-campus study program (Carleton or non-Carleton), substantial experience living abroad, or instructor permission.Recommended Preparation: Participation in an off-campus study program (Carleton or non-Carleton), substantial experience living abroad, or instructor permission.",0.4390277,0,0,
CS 201,RELG 265,"Think back to your favorite assignment from Introduction to Computer Science. Did you ever get the feeling that “there has to be a better/smarter way to do this problem”? The Data Structures course is all about how to store information intelligently and access it efficiently. How can Google take your query, compare it to billions of web pages, and return the answer in less than one second? How can one store information so as to balance the competing needs for fast data retrieval and fast data modification? To help us answer questions like these, we will analyze and implement stacks, queues, trees, linked lists, graphs, and hash tables. Students who have received credit for a course for which Computer Science 201 is a prerequisite are not eligible to enroll in Computer Science 201.","Why do religious people do violence—in their words and deeds, against themselves and others? Is violence a distortion of real religion? Is it the inevitable result of certain beliefs? Or are these the wrong questions? This course considers several case studies of religious violence drawn from different traditions and time periods, including ancient paganism, early Christianity, Judaism, Islam, and so-called cults. Our approach will be historical, literary, and comparative. We will seek to understand how violence can be meaningful as a religious act, and how adherents of the same religious tradition can have widely diverse views on violence and nonviolence.",0.6111222,0,0,
MATH 341,MATH 342,"An introduction to partial differential equations with emphasis on the heat equation, wave equation, and Laplace’s equation. Topics include the method of characteristics, separation of variables, Fourier series, Fourier transforms and existence/uniqueness of solutions.","Introduction to algebraic structures, including groups, rings, and fields. Homomorphisms and quotient structures, polynomials, unique factorization. Other topics may include applications such as Burnside’s counting theorem, symmetry groups, polynomial equations, or geometric constructions.",0.8107015,1,1,
CS 251,MELA 230,"What makes a programming language like “Python” or like “Java”? This course will look past superficial properties (like indentation) and into the soul of programming languages. We will explore a variety of topics in programming language construction and design: syntax and semantics, mechanisms for parameter passing, typing, scoping, and control structures. Students will expand their programming experience to include other programming paradigms, including functional languages like Scheme and ML.","Judaism emphasizes transmitting memory from one generation to the next. How have pivotal events and experiences in Jewish history lived on in Jewish collective memory? How do they continue to speak through artistic/literary composition and museum/memorial design? How does Jewish collective memory compare with recorded Jewish history? We will study turning points in Jewish history including the Exodus from Egypt, Jewish expulsion from medieval Spain, the Holocaust, and Israeli independence, as Jews in different times and places have interpreted them with lasting influence. Research includes work with print, film, and other visual/ performative media.",0.1112761,0,0,
BIOC 311,ARTS 339,"This course introduces students to fundamental biochemical laboratory techniques important to studying protein structure and function, such as the manipulation of nucleic acids, electrophoresis, protein purification, and functional assays. Students will apply these techniques to scientific problems drawn from faculty research.BIOC 301 is a prereq; it cannot be taken concurrently with BIOC 311","In this course students explore photography as a means of understanding and interacting with both the world and the inner self. We will emphasize a balance of technical skills, exploration of personal vision, and development of critical thinking and vocabulary relating to photography. Advanced students will focus on developing a concise body of work independently through two self-directed longer projects. Instruction includes: use of large format cameras with a hand meter, film scanning, and strobe lighting. Students will learn to develop a portfolio as an ongoing process that requires informed and critical decision making to assemble a body of work. Collectively we will critique, analyze, give feedback on work and discuss readings that are pertinent to the production of images in contemporary times.Two seats held for Art and Art History majors until the day after junior priority registration.",0.5951025,0,0,
PHYS 142,ARTS 122,"This course begins with an introduction to classical mechanics using the Newtonian worldview. Descriptions of motion and change in motion of some simple systems at human speeds are investigated using Newton’s laws, vector analysis, and the conservation laws of momentum and energy. The course moves beyond the Newtonian framework to consider a relativistic framework where time and space are intertwined and explores the motion of objects whose speeds approach the speed of light. Comfort with algebra and the integration and differentiation of elementary functions is assumed. Weekly laboratory work.  This section of introductory physics with problem solving is periodically offered for students who wish to further develop their general analytical and critical thinking skills. The smaller section will have additional class meetings for problem solving and review. PHYS 142 is appropriate for students who would like to have more scheduled time to work with a faculty member on developing their scientific reasoning skills and understanding of the foundations of physics.","The ability to build structures that reflect or alter the environment is a basic defining characteristic of our species. In this class we explore creative construction in three dimensions using a variety of media, including plaster, wood, and steel. Using both natural and architectural objects for inspiration, we will examine and manipulate form, space, and expressive content to develop a deeper understanding of this core trait and reawaken our experience of the spaces we inhabit.Sophomore Priority; Three seats held for Art and Art History majors until the first day of sophomore registration.Extra Time Required for field trip",0.5882733,1,0,1
MUSC 217,ARTS 339,"Opera has something for everyone: drama, desire, politics, stagecraft, design. The medium sets life to music and reveals the music within people’s lives. In the spirit of exchange between art and reality, this course looks at the history of opera through a contemporary lens. Centering on a diverse collection of operas—and voices—from past to present, we’ll ask how modern sensibilities animate the music’s production and performance. We’ll bring concepts of relevance, risk, representation, and justice to bear on opera, with attention to media and technology. We’ll listen to recent operatic interpretations and discover how creatives are making opera new.","In this course students explore photography as a means of understanding and interacting with both the world and the inner self. We will emphasize a balance of technical skills, exploration of personal vision, and development of critical thinking and vocabulary relating to photography. Advanced students will focus on developing a concise body of work independently through two self-directed longer projects. Instruction includes: use of large format cameras with a hand meter, film scanning, and strobe lighting. Students will learn to develop a portfolio as an ongoing process that requires informed and critical decision making to assemble a body of work. Collectively we will critique, analyze, give feedback on work and discuss readings that are pertinent to the production of images in contemporary times.Two seats held for Art and Art History majors until the day after junior priority registration.",0.3423562,1,1,
ENGL 370,JAPN 343,An advanced course in the writing of fiction. Students will write three to four short stories or novel chapters which will be read and critiqued by the class.,"This course examines Japanese popular media through an environmental lens, spanning from the thireteenth century to the present. It explores how novels, films, and animation depict the evolving human relationship with the non-human world amidst political, cultural, and philosophical shifts. Topics include modernization, internal colonization, gender dynamics, and industrial disasters, with a focus on canonical authors and global issues. Students develop skills in cultural comprehension through discussions and written assignments.",0.36719504,1,0,0
STAT 120,SPAN 220,"Introduction to statistics and data analysis. Practical aspects of statistics will be emphasized, including extensive use of programming in the statistical software R, interpretation and communication of results. Topics include: exploratory data analysis, correlation and linear regression, design of experiments, the normal distribution, randomization approach to inference, sampling distributions, estimation, and hypothesis testing. Students who have taken Mathematics 211 are encouraged to consider the more advanced Mathematics 240/Statistics 250 Probability/Statistical Inference sequence.Not open to students who have already received credit for Psychology 200/201, Sociology/Anthropology 239 or Statistics 250","This course focuses on contemporary short stories and short novels. We will read some of the most relevant living authors from Latin America including Carlos Gamerro, Pilar Quintana, Kike Ferrari, Yeniter Poleo, Antonio José Ponte, among others. This will expose students to the most pressing issues in today’s Latin America, ranging from gender, violence, racism, and immigration. We will interview at least one of the authors read during the term and discuss the social implications of their literature in today’s world.In Trans",-0.100011244,0,0,
CS 251,PHYS 234,"What makes a programming language like “Python” or like “Java”? This course will look past superficial properties (like indentation) and into the soul of programming languages. We will explore a variety of topics in programming language construction and design: syntax and semantics, mechanisms for parameter passing, typing, scoping, and control structures. Students will expand their programming experience to include other programming paradigms, including functional languages like Scheme and ML.","The development of techniques to study complex physical systems from a probabilistic and numerical standpoint, focused on cellular automata models. Subject material is applicable to all the sciences and mathematics. Some topics considered are random walks, percolation clusters, avalanches, traffic flow, the spread of forest fires and diseases, and a brief introduction to Bayesian statistics. No computer programming skills are assumed.",0.50433993,1,1,
MATH 111,CAMS 272,"An introduction to the differential and integral calculus. Derivatives, antiderivatives, the definite integral, applications, and the fundamental theorem of calculus.Not open to students who have received credit for MATH 101","Narrative films are the product of many artists working in concert toward a shared artistic vision. In this course, students will explore the essential crew roles on narrative films and choose an area in which they would like to specialize during the making of a collaborative project in Los Angeles. In addition to a focus on story and directing actors, specialized equipment and craft labs will expand students' technical skills. Through the term, students will learn the ins-and-outs of filmmaking in Los Angeles while moving through production of a narrative short film, with each student taking on a specific crew position in a collaborative project.Open only to participants in Carleton OCS CAMS Production in Los Angeles Program",0.45891708,0,0,
EDUC 338,HIST 111,"This course focuses on the respect for human diversity, especially as these relate to various racial, cultural and economic groups, and to women. It includes lectures and discussions intended to aid students in relating to a wide variety of persons, cultures, and life styles.Extra time","This course introduces students to maritime history, marine environmental history, and issues in contemporary marine policy. While traditional histories have framed the sea as an empty space and obstacle to be traversed, or as a battleground, we will approach the ocean as a contact zone, a space of labor, and as the site of focused scientific research, thereby emphasizing human interaction with the oceans. We will examine how people have come to know, utilize, and govern the world’s oceans across time and space, and we will explore how this history informs contemporary issues in maritime law, governance, and ocean conservation.",0.676488,1,0,0
STAT 285,HIST 116,"Students will apply their statistical knowledge by analyzing data problems solicited from the Northfield community. Students will also learn basic consulting skills, including communication and ethics.All interested students are encouraged to add to the waitlist and the instructor will reach out after registration. This course is repeatable, but if the instructor cannot admit every student on the waitlist, priority will be given first to Statistics majors who have not previously taken the course and then to other students who have not taken the course.","Many Americans grow up with a fictionalized view of Indigenous people (sometimes also called Native Americans/American Indians, Alaska Natives, and Native Hawaiians within the U.S. context). Understanding Indigenous peoples’ histories, presents, and possible futures requires moving beyond these stereotypes and listening to Indigenous perspectives. In this class, we will begin to learn about Indigenous peoples across Turtle Island and the Pacific through tribal histories, legislation, Supreme Court cases, and personal narratives. The course will focus on the period from 1887 to 2018 with major themes including (among others) agency, resistance, resilience, settler colonialism, discrimination, and structural racism.",0.12022545,0,0,
GRK 226,ENGL 109,"Greek literature abounds in stories of hostile encounters between heroes and monsters. Perseus vs. Medusa, Theseus and the Minotaur, Bellerophon vs. the Chimera are only a few of these stories that feature larger-than-life individuals who confront otherworldly creatures. But why is there such a fascination in the Greek mind? In this course, we will examine such stories in the original Greek, looking at authors such as Homer, Hesiod, Herodotus, and Lucian, and we will discuss what the socio-cultural constructions of theheroand themonstershow us about what it means to be human both in antiquity and in modern times.","This course is designed to demystify the practice of academic writing and to introduce students to the skills they’ll need to write effectively in a variety of academic disciplines and contexts. Students will learn how to respond to other authors’ claims, frame clear arguments of their own, structure essays to develop a clear logical flow, integrate outside sources into their writing, and improve their writing through revision. All sections will include a variety of readings, multiple writing assignments, and substantial feedback from the course instructor.",0.1731022,1,0,0
CAMS 272,AMST 396.00,"Narrative films are the product of many artists working in concert toward a shared artistic vision. In this course, students will explore the essential crew roles on narrative films and choose an area in which they would like to specialize during the making of a collaborative project in Los Angeles. In addition to a focus on story and directing actors, specialized equipment and craft labs will expand students' technical skills. Through the term, students will learn the ins-and-outs of filmmaking in Los Angeles while moving through production of a narrative short film, with each student taking on a specific crew position in a collaborative project.Open only to participants in Carleton OCS CAMS Production in Los Angeles Program","As Arlene Dávila points out inLatinos Inc, Latinidad—the term that names a set of presumably common attributes that connects Latinxs in the U.S.—emerges in part from communities but, importantly, is developed heavily by the media, advertising, and other political and social institutions, including academia. In this course we consider how ideas and imaginings of who Latinxs are and what Latinidad is develop within political spaces (the electorate, the census), in local places, and through various media, including television, advertising, and music. We will consider how individual writers and artists contribute to the conversation. Throughout, we will engage with social and cultural theories about racial formation, gender, and sexuality.",-0.016702231,1,1,
RUSS 103,ARTS 113,Concludes introductory method of Russian 101-102.,"A beginning drawing course for students who are interested in developing their skills in drawing from nature, to better see and understand their surroundings. Class material covers line, form, dimension, value, perspective, and space using a variety of drawing materials. Subject matter includes specimens, plant forms, and the landscape. Students will use a portable sketchbook, and classes during the second part of the term are primarily outside. Locations include the Arb and field trips; access to these sites does include walking on unpaved paths and uneven terrain.Sophomore Priority;Two seats held for Art and Art History majors until the day after junior priority registration.",0.43042988,0,0,
