Course_1,Course_2,Similarity
AFST 289,AFST 289,1.0000002
AFST 289,HIST 205,0.7663689
AFST 289,HIST 308,0.72976565
AFST 289,IDSC 238,0.70772165
AFST 289,HIST 111,0.7055645
AFST 289,POSC 120,0.70402086
AFST 289,POSC 348,0.7008054
AFST 289,RELG 261,0.69233507
AFST 289,GWSS 110,0.67098165
AFST 289,POSC 322,0.65382665
AFST 289,AMST 269,0.6517329
AFST 289,HIST 251,0.6516254
AFST 289,POSC 315,0.6504469
AFST 289,HIST 229,0.6488724
AFST 289,SOAN 313,0.634718
AFST 289,RELG 265,0.63295126
AFST 289,RELG 110,0.63192976
AFST 289,ECON 269,0.6296821
AFST 289,PHIL 219,0.62137437
AFST 289,POSC 231,0.6126628
AFST 289,AMST 115,0.60012704
AFST 289,ARTH 214,0.59850484
AFST 289,ECON 280,0.5981731
AFST 289,SOAN 323,0.5872301
AFST 289,SOAN 262,0.5865612
AFST 289,RELG 221,0.5789017
AFST 289,RELG 121,0.5754313
AFST 289,SOAN 214,0.5709626
AFST 289,JAPN 343,0.5573133
AFST 289,SPAN 369,0.55643624
AFST 289,MATH 241,0.55609155
AFST 289,HIST 276,0.5529841
AFST 289,POSC 170,0.55013627
AFST 289,ECON 277,0.5453061
AFST 289,CLAS 123,0.5402919
AFST 289,CAMS 214,0.5333375
AFST 289,ASST 285,0.52885675
AFST 289,AMST 396.00,0.525999
AFST 289,MUSC 217,0.52113247
AFST 289,HIST 287,0.5203562
AFST 289,HIST 270,0.5194856
AFST 289,SOAN 228,0.51774436
AFST 289,PHYS 341,0.51723886
AFST 289,MATH 111,0.51418847
AFST 289,HIST 153,0.5138341
AFST 289,GERM 217,0.5049038
AFST 289,MATH 342,0.5014007
AFST 289,ECON 111,0.49970323
AFST 289,THEA 226,0.49673843
AFST 289,AFST 300,0.49292746
AFST 289,MELA 230,0.4904533
AFST 289,BIOL 353,0.4861395
AFST 289,HIST 209,0.47937283
AFST 289,ENGL 202,0.47831205
AFST 289,MATH 120,0.47682136
AFST 289,ASTR 233,0.475628
AFST 289,ENGL 230,0.47480133
AFST 289,ECON 270,0.4742255
AFST 289,ARCN 112,0.47026268
AFST 289,ECON 265,0.4662954
AFST 289,RELG 344,0.46330625
AFST 289,ECON 274,0.4607166
AFST 289,POSC 201,0.45454943
AFST 289,POSC 206.00,0.453904
AFST 289,GWSS 398.00,0.4477138
AFST 289,FREN 245,0.44575605
AFST 289,RELG 213,0.44237667
AFST 289,BIOL 240,0.4379587
AFST 289,EDUC 338,0.4349544
AFST 289,CLAS 214,0.43470258
AFST 289,PSYC 110,0.43451375
AFST 289,ECON 330,0.42547035
AFST 289,HIST 347,0.42462337
AFST 289,HIST 265,0.42445898
AFST 289,POSC 242,0.4227834
AFST 289,CLAS 240,0.41914952
AFST 289,PHIL 209,0.4175054
AFST 289,POSC 302,0.4146575
AFST 289,BIOC 311,0.41433394
AFST 289,FREN 254,0.4141234
AFST 289,GEOL 110,0.40958285
AFST 289,POSC 266,0.40731993
AFST 289,CAMS 230,0.40643898
AFST 289,MATH 341,0.40392548
AFST 289,EDUC 395,0.40333042
AFST 289,FREN 255,0.39575157
AFST 289,ECON 110,0.39205402
AFST 289,AMST 321,0.38497496
AFST 289,PSYC 389,0.3827784
AFST 289,LING 110,0.38244817
AFST 289,NEUR 238,0.38203034
AFST 289,FREN 259,0.38094926
AFST 289,ENGL 115,0.3765283
AFST 289,THEA 185,0.37473655
AFST 289,ARTS 122,0.37310356
AFST 289,DANC 148,0.3701811
AFST 289,LTAM 220,0.3692027
AFST 289,DANC 200,0.3691975
AFST 289,HIST 201,0.3674066
AFST 289,PHIL 270,0.36522067
AFST 289,FREN 310,0.3616312
AFST 289,MATH 236,0.3616224
AFST 289,ENGL 295,0.35807163
AFST 289,GERM 221,0.35598233
AFST 289,MATH 210,0.35446703
AFST 289,ECON 331,0.35225773
AFST 289,CAMS 187,0.34994888
AFST 289,DANC 279,0.3478044
AFST 289,GWSS 200,0.34403703
AFST 289,SOAN 110,0.34402236
AFST 289,PHYS 235,0.34125
AFST 289,DANC 309,0.34075785
AFST 289,LING 135,0.33863047
AFST 289,POSC 333,0.33789933
AFST 289,EDUC 110,0.33081767
AFST 289,ENGL 395.00,0.32978138
AFST 289,ARTS 139,0.32891142
AFST 289,MATH 134,0.32854924
AFST 289,HIST 206,0.3255359
AFST 289,MUSC 127,0.3243368
AFST 289,GEOL 255,0.31722474
AFST 289,SPAN 263,0.31685606
AFST 289,ARTH 298,0.315634
AFST 289,SPAN 220,0.3106472
AFST 289,EDUC 242,0.30922914
AFST 289,CLAS 142,0.30834928
AFST 289,RELG 155,0.30699596
AFST 289,EUST 207,0.30597118
AFST 289,MUSC 313,0.30303216
AFST 289,BIOL 125,0.29992977
AFST 289,RUSS 228,0.29855812
AFST 289,CS 304,0.29626712
AFST 289,PHYS 342,0.29502335
AFST 289,DANC 107,0.29467702
AFST 289,ENGL 255,0.29388177
AFST 289,CHEM 352,0.29013532
AFST 289,NEUR 239,0.28972784
AFST 289,POSC 252,0.28555524
AFST 289,PSYC 382,0.2816115
AFST 289,ARTS 230,0.28048798
AFST 289,SOAN 312,0.27995256
AFST 289,ARTS 252,0.27902624
AFST 289,ARCN 222,0.27780846
AFST 289,POSC 160,0.27727637
AFST 289,RUSS 207,0.27352235
AFST 289,STAT 220,0.27328733
AFST 289,MATH 232,0.27101865
AFST 289,PHIL 124,0.26963007
AFST 289,GEOL 240,0.26739636
AFST 289,THEA 110,0.26612356
AFST 289,RUSS 266,0.26602572
AFST 289,GRK 226,0.26234728
AFST 289,CAMS 277,0.26119748
AFST 289,PHYS 145,0.25869384
AFST 289,DANC 206,0.2577895
AFST 289,JAPN 103,0.25363114
AFST 289,ARTS 339,0.25346383
AFST 289,MUSC 227,0.24601653
AFST 289,GERM 103,0.2448893
AFST 289,PHIL 210,0.24396515
AFST 289,CHIN 206,0.24365595
AFST 289,ARTS 322,0.24335381
AFST 289,CAMS 265,0.24155575
AFST 289,ASTR 113,0.23934133
AFST 289,CS 254,0.23915987
AFST 289,ARBC 103,0.23473768
AFST 289,PHYS 142,0.23364869
AFST 289,CS 201,0.23228563
AFST 289,POSC 232.01,0.22835
AFST 289,RUSS 267,0.22228527
AFST 289,CS 311,0.21973464
AFST 289,PSYC 256,0.2183211
AFST 289,BIOL 126,0.21649748
AFST 289,BIOL 241,0.21483967
AFST 289,CHEM 349,0.21457045
AFST 289,MATH 331,0.21438275
AFST 289,ENGL 209,0.21295452
AFST 289,PHIL 289,0.21197252
AFST 289,PHYS 234,0.21188612
AFST 289,MUSC 299,0.21002424
AFST 289,PSYC 354,0.20875673
AFST 289,CHIN 103,0.20824724
AFST 289,HEBR 102,0.20670998
AFST 289,RUSS 209,0.19996998
AFST 289,CHIN 251,0.19910152
AFST 289,CGSC 130.00,0.19772471
AFST 289,ENGL 253,0.19412732
AFST 289,CAMS 110,0.19398229
AFST 289,LING 115,0.19130751
AFST 289,THEA 190,0.1898763
AFST 289,ARTS 262,0.18847291
AFST 289,ARTS 113,0.1857529
AFST 289,BIOL 370,0.18304192
AFST 289,CAMS 229,0.1829613
AFST 289,NEUR 395,0.17854403
AFST 289,HIST 116,0.17764646
AFST 289,LATN 240,0.17754938
AFST 289,DANC 208,0.1735584
AFST 289,POSC 272,0.17046572
AFST 289,CHEM 123,0.1686951
AFST 289,BIOL 378,0.16586132
AFST 289,ENGL 268,0.16304946
AFST 289,PSYC 200,0.16272178
AFST 289,STAT 230,0.15728611
AFST 289,STAT 120,0.15608896
AFST 289,SOAN 111,0.15515202
AFST 289,PSYC 216,0.15360212
AFST 289,IDSC 251,0.15102242
AFST 289,DANC 350,0.15074335
AFST 289,DANC 190,0.15004495
AFST 289,PHYS 123,0.14628263
AFST 289,ARTS 298,0.14377144
AFST 289,PHIL 119,0.14151427
AFST 289,ASLN 111,0.1340446
AFST 289,DANC 310,0.1252463
AFST 289,ENGL 370,0.12523368
AFST 289,MATH 297,0.123593904
AFST 289,RUSS 309,0.12358109
AFST 289,CCST 208,0.12106745
AFST 289,CS 202,0.120554745
AFST 289,BIOL 352,0.11732308
AFST 289,THEA 245,0.116790764
AFST 289,LATN 103,0.113079034
AFST 289,FREN 210,0.109355696
AFST 289,EUST 101.07,0.10730378
AFST 289,ENGL 160,0.10691344
AFST 289,CHEM 224,0.104913145
AFST 289,FREN 208,0.104194395
AFST 289,JAPN 206,0.10233813
AFST 289,RUSS 228F,0.101794705
AFST 289,ENGL 338,0.10010644
AFST 289,LTAM 398,0.09619183
AFST 289,PSYC 220,0.09335605
AFST 289,THEA 199,0.09066203
AFST 289,CS 361,0.08960493
AFST 289,STAT 297,0.088589504
AFST 289,CAMS 186,0.08698201
AFST 289,MEST 395,0.0859417
AFST 289,STAT 250,0.083372615
AFST 289,PSYC 257,0.08126091
AFST 289,IDSC 202,0.080272876
AFST 289,CS 208,0.07655123
AFST 289,RUSS 307,0.07404843
AFST 289,ENGL 371,0.07077557
AFST 289,GEOL 230,0.06369892
AFST 289,CS 348,0.061247103
AFST 289,ARBC 222,0.060131904
AFST 289,PHYS 352,0.0540569
AFST 289,MUSC 204,0.04958267
AFST 289,CAMS 111,0.046420887
AFST 289,ECON 398,0.04565144
AFST 289,STAT 320,0.04305668
AFST 289,EDUC 385,0.03457916
AFST 289,RUSS 103,0.021574257
AFST 289,MATH 271,0.02034216
AFST 289,CHIN 358,0.019987244
AFST 289,DGAH 398,0.015035893
AFST 289,CGSC 330,0.01498636
AFST 289,CHEM 348,0.014169697
AFST 289,ARBC 371,0.0128956875
AFST 289,HIST 298,0.01184218
AFST 289,GRK 102,0.008550683
AFST 289,ASST 110,0.004083808
AFST 289,ARBC 206,0.0012672532
AFST 289,CS 347,-0.0013746537
AFST 289,RUSS 110,-0.0016924813
AFST 289,STAT 285,-0.0025019199
AFST 289,ARTS 374,-0.0061043347
AFST 289,ARBC 223,-0.022028333
AFST 289,CAMS 272,-0.023212984
AFST 289,MUSC 221,-0.024876717
AFST 289,CHEM 351,-0.029253814
AFST 289,IDSC 298,-0.030579016
AFST 289,ENGL 109,-0.03214354
AFST 289,CHEM 234,-0.037476458
AFST 289,SPAN 205,-0.038180456
AFST 289,SPAN 103,-0.038408767
AFST 289,CS 320,-0.038409773
AFST 289,CHEM 300.00,-0.049172577
AFST 289,SPAN 208,-0.049702667
AFST 289,PSYC 201,-0.05172293
AFST 289,FREN 103,-0.0596227
AFST 289,CS 111,-0.066154905
AFST 289,IDSC 198,-0.07063134
AFST 289,PSYC 217,-0.07834536
AFST 289,CS 257,-0.08637272
AFST 289,BIOC 331,-0.08875046
AFST 289,POSC 230,-0.09461404
AFST 289,CS 252,-0.09819199
AFST 289,PHIL 202,-0.11465289
AFST 289,IDSC 280,-0.1192291
AFST 289,SOAN 240,-0.12384586
AFST 289,POSC 232.02,-0.13062611
AFST 289,CHEM 362,-0.1433534
AFST 289,LING 319,-0.16964266
AFST 289,CS 251,-0.17336951
AFST 289,IDSC 289,-0.23159954
AFST 300,AFST 300,1.0
AFST 300,HIST 206,0.8344486
AFST 300,HIST 209,0.83090645
AFST 300,GERM 221,0.78770924
AFST 300,RELG 221,0.78770804
AFST 300,CLAS 240,0.7863337
AFST 300,RELG 265,0.7830719
AFST 300,SPAN 369,0.7753809
AFST 300,LTAM 220,0.74857575
