Course Number,Course Title,Credits,Description,Offered Term,Liberal Arts Requirements,Tags,Prerequisites,Faculty,Meeting Day,Location,Time,Unnamed: 12
AFST 289,Global Blackness and Social Movements,6 credits,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.",Spring 2025,"IS, International Studies, SI, Social Inquiry, WR2 Writing Requirement 2","AFST Social Inquiry, SOAN Pertinent, AFST Core, CL: 200 level",,Daniel Williams,"T, TH",Leighton 402,10:10am-11:55am,
AFST 300,"Race, Racism, and the Beloved Community in the US",6 credits,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights.",Spring 2025,"HI, Humanistic Inquiry, IDS, Intercultural Domestic Studies, WR2 Writing Requirement 2","AFST Humanistic Inquiry, AFST Core, CL: 300 level",Student has completed any of the following course(s): One course that applies toward the Humanistic Inquiry requirement with a grade of C- or better.,Chielo Eze,"T, TH",Leighton 330,1:15pm-3:00pm,
AMST 115,Introduction to American Studies,6 credits,"This overview of the “interdisciplinary discipline” of American Studies will focus on the ways American Studies engages with and departs from other scholarly fields of inquiry. We will study the stories of those who have been marginalized in the social, political, cultural, and economic life of the United States due to their class, race, ethnicity, gender, sexual orientation, religion, citizenship, and level of ability. We will explore contemporary American Studies concerns like racial and class formation, the production of space and place, the consumption and circulation of culture, and transnational histories.Sophomore Priority",Spring 2025,"HI, Humanistic Inquiry, IDS, Intercultural Domestic Studies, WR2 Writing Requirement 2","AMMU Music Foundations, CCST Seeing and Being Cross-Cult, EDUC 2 Soc and Cult Context, HIST Pertinent Courses, HIST US History, CL: 100 level",,Christopher Elias,"M, W",Willis 204,11:10am-12:20pm,
AMST 269,Woodstock Nation,6 credits,"“If you remember the Sixties, you weren’t there.”  We will test the truth of that popular adage by exploring the American youth counterculture of the 1960s, particularly the turbulent period of the late sixties. Using examples from literature, music, and film, we will examine the hope and idealism, the violence, confusion, wacky creativity, and social mores of this seminal decade in American culture. Topics explored will include the Beat Generation, the Vietnam War, Civil Rights, LSD, and the rise of environmentalism, feminism, and Black Power.Extra time",Spring 2025,"IDS, Intercultural Domestic Studies, LA, Literary/Artistic Analysis, WR2 Writing Requirement 2","AMMU Soundtracks America, AMST Democracy Activism, AMST Prdctn Consmptn Cult, AMST Race Ethnicty Indign, CAMS Extra Departmental, ENGL Historical Era 3, ENGL Tradition 2, CL: 200 level",,Michael Kowalewski,"M, W",Laird 206,12:30pm-1:40pm,
AMST 321,Indigenous Chicago: Indigenous Histories and Futures in Zhegagoynak,6 credits,"Before Chicago as we know it today existed, many Indigenous nations had long standing relationships with this place. They knew it as Zhegagoynak, Gaa-zhigaagwanzhikaag, Zhigaagong, Šikaakonki, Shekâkôheki, Sekakoh, and Guušge honak, among others. This course emerges from four years of community-engaged curriculum development and examines Chicago histories through five themes: Chicago's lands and environment, Chicago as a Native place, Chicago as a place of convergence, activism and resistance in Chicago, and community-driven education movements in Chicago. Drawing from History, American Studies, Education, and Indigenous Studies, students will also examine how research and curricula can center Indigenous perspectives and sources.",Spring 2025,"HI, Humanistic Inquiry, IDS, Intercultural Domestic Studies","AMST Race Ethnicty Indign, AMST Space and Place, CL: 300 level, HIST US History",,Meredith McCoy,,,,
AMST 396.00,Producing Latinidad,6 credits,"As Arlene Dávila points out inLatinos Inc, Latinidad—the term that names a set of presumably common attributes that connects Latinxs in the U.S.—emerges in part from communities but, importantly, is developed heavily by the media, advertising, and other political and social institutions, including academia. In this course we consider how ideas and imaginings of who Latinxs are and what Latinidad is develop within political spaces (the electorate, the census), in local places, and through various media, including television, advertising, and music. We will consider how individual writers and artists contribute to the conversation. Throughout, we will engage with social and cultural theories about racial formation, gender, and sexuality.",Spring 2025,"HI, Humanistic Inquiry, IDS, Intercultural Domestic Studies, WR2 Writing Requirement 2","CL: 300 level, GWSS Elective, LTAM Electives",Student has completed any of the following course(s):AMST 115– Introduction to American Studies with grade of C- or better.,Adriana Estill,"T, TH",Laird 218,10:10am-11:55am,
ARBC 103,Elementary Arabic,6 credits,"This course sequence introduces non-Arabic speakers to the sounds, script, and basic grammar of Arabic–the language of 200 million speakers in the Arab world and the liturgical language of over a billion Muslims. Students will develop basic listening, speaking, reading and writing skills in Modern Standard Arabic. Classes will incorporate readings and audio-visual material from contemporary Arabic media, as well as popular music.",Spring 2025,No Exploration,"MEST Pertinent, MEST Pertinent, CL: 100 level",Student has completed any of the following course(s):ARBC 102– Elementary Arabic with a grade C- or better or equivalent.,Zaki Haidar,"M, W",Language & Dining Center 244,9:50am-11:00am,
ARBC 206,Arabic in Cultural Context,6 credits,"In this course students will continue to develop their Arabic language skills, including expanding their command of Arabic grammar, improving their listening comprehension, reading and writing skills. In addition to more language-focused training, the course will introduce students to moreáadvanced readings, including literary texts (prose and poetry, classical and modern) and op-ed articles from current media. Class discussions will be in Arabic.",Spring 2025,No Exploration,"MEST Supporting Group 2, CL: 200 level",Student has completed any of the following course(s):ARBC 205– Intermediate Arabic with a grade of C- or better or equivalent.,Zaki Haidar,"M, W",Weitz Center 136,1:50pm-3:00pm,
ARBC 222,Music in the Middle East,6 credits,"The Middle East is home to a great number of musical styles, genres, and traditions. Regional, ideological, and cultural diversity, national identity, and cross-cultural encounters–all express themselves in music. We will explore some of the many musical traditions in the Arab world, from early twentieth century to the present. Class discussions based on readings in English and guided listening. No prior music knowledge required, but interested students with or without musical background can participate in an optional, hands-on Arab music performance workshop, on Western or a few (provided) Middle Eastern instruments throughout the term.",Spring 2025,"CX, Cultural/Linguistics, IS, International Studies, LA, Literary/Artistic Analysis","MEST Supporting Group 2, MUSC Ethnomusicolgy or Pop, CL: 200 level",,Yaron Klein,"M, W",Weitz Center 230,12:30pm-1:40pm,
ARBC 223,Arab Music Workshop,1 credits,"Through music making, this workshop introduces students to Arab music and some of its distinctive features, such as microtonality, modality (maqam), improvisation (taqsim) and rhythmic patterns (iqa’at). Students may elect to participate playing on an instrument they already play, or elect to study the oud (the Arab lute). Ouds and percussion instruments will be provided.ARBC 222 required.",Spring 2025,"ARP, Arts Practice","MEST Pertinent, MEST Pertinent, MEST Supporting Group 2",,Yaron Klein,,,,
