Course_1,Course_2,Description_1,Description_2,Similarity
AFST 289,EDUC 338,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","This course focuses on the respect for human diversity, especially as these relate to various racial, cultural and economic groups, and to women. It includes lectures and discussions intended to aid students in relating to a wide variety of persons, cultures, and life styles.Extra time",0.9590328
AFST 289,GEOL 255,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","An introduction to the fundamental physical, chemical and tectonic principles that are relevant to the formation of igneous and metamorphic rocks. Labs emphasize description and interpretation of the origin of rocks based on hand specimen and thin section study. Field trips and laboratories are included.Extra time for field trips",0.9483723
AFST 289,HIST 347,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","In the aftermath of the Second World War and through the 1980s, the United States and the Soviet Union competed for world dominance. This Cold War spawned hot wars, as well as a cultural and economic struggle for influence all over the globe. This course will look at the experience of the Cold War from the perspective of its two main adversaries, the U.S. and USSR, but will also devote considerable attention to South America, Asia, Africa, and the Middle East. Students will write a 20 page paper based on original research.",0.9410341
AFST 289,DANC 148,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","A physical exploration at the introductory level of the elements of dance: time, motion, space, shape and energy. Students are challenged physically as they increase their bodily awareness, balance, control, strength and flexibility and get a glimpse of the art of dance.",0.9369098
AFST 289,ECON 269,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","This course studies the relationship between climate change, government policy, and global markets. It explores the historical relationship between economic growth and greenhouse gasses, the cost-benefit analysis of policies aimed at reducing greenhouse gas emissions, and the potential for adaptation to climate change. Through readings, discussions, and case studies, students will gain a deep understanding of the economic implications of climate change and the policies that can be used to mitigate its effects. By the end of the course, students will have developed a critical understanding of the complex relationship between economics and climate change and will be equipped to engage in meaningful discussions and analysis of this pressing global issue.",0.93657386
AFST 289,CHIN 103,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","Continuation of Chinese 101, 102.",0.9354193
AFST 289,HIST 229,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","Historically work has been a central location for the constitution of gender identities for both men and women; at the same time, cultural notions of gender have shaped the labor market. We will investigate the roles of race, class, and ethnicity in shaping multiple sexual divisions of labor and the ways in which terms such as skill, bread-winning and work itself were gendered. Topics will include domestic labor, slavery, industrialization, labor market segmentation, protective legislation, and the labor movement.",0.93221116
AFST 289,RELG 261,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","From colonial times when Muslims were brought to America as slaves, to the aftermath of the Spanish-American War when the United States found itself ruling over a large Muslim population in the Philippines, to the more recent War on Terror, Muslims and Islam have long been entangled in the politics of race and empire in America. This course will examine these entanglements through primary and secondary sources to better understand the role that race, religion, and empire have played in the forging of American Islam today.",0.92958015
AFST 289,MATH 111,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.","An introduction to the differential and integral calculus. Derivatives, antiderivatives, the definite integral, applications, and the fundamental theorem of calculus.Not open to students who have received credit for MATH 101",0.92916924
AFST 289,DANC 206,"This course considers Black social movements from around the globe, with an emphasis on non-U.S. contexts.  Examining multiple movements both past and present, it takes a comparative approach to understanding the unique and variable ways that Black communities have articulated the Black condition, and mobilized and resisted oppression.  Central to the course is the question of Blackness as a global and transnational identity; as well as the extent to which movements themselves form ties and mutually inform each other across national boundaries.",Rehearsal and full concert performance of student dance works created during the year and completed in the spring term. Open to all levels.,0.9279205
AFST 300,SPAN 369,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights.","Carnivals are frequently associated with colourful crowds, merrymaking and excess. But what role do carnivals play in the construction of national and collective identities? We will try to answer this and other questions focusing on films, paintings, and literary texts from the twentieth and twenty-first centuries that represent some of the most popular carnivals in Latin America: Candombe (Uruguay), Yawar Fiesta (Peru), Blacks and Whites (Colombia), Oruro (Bolivia), and Rio (Brazil). We will analyze them from an interdisciplinary perspective that includes literary criticism, anthropology, and history. Students will engage with debates about nation, popular culture, modernity/modernization, and intangible cultural heritage.",0.96123517
AFST 300,RUSS 266,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights.","Fyodor Dostoevsky’s last novel,The Brothers Karamazov, is many things: a riveting murder mystery, a probing philosophical treatise, one of the best known novels in world literature, and a complex book worth reading and discussing with serious readers of diverse backgrounds. We will familiarize ourselves with the historical and philosophical context in which it was written, while grappling with the fundamental questions it raises: What does it mean to act morally? Why do humans so often act against their own best interest? How do we reconcile a world of chaos and suffering with the notion of a benevolent god? Conducted entirely in English.1st 5 weeks, in translation",0.95789504
AFST 300,HIST 276,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights.","Even while still on the campaign trail, Spain’s conquistadors endeavored to describe Mexico's native societies to other Europeans. Thus began a centuries-long fascination with all things Mesoamerican, real and imaginary. This course explores how the Mesoamerican past has been imagined by indigenous and non-indigenous people. Potential subjects include Spanish conquistadors and missionaries, early Mexican nation-builders and artists, professional and pseudo-archaeologists, apocalyptic doomsayers, promoters of the Mexican tourist industry, and the counterculture and Chicano movements of the 1960s. Importantly, we will also consider how Mexico's indigenous groups have come to understand their own past from the time of Spanish rule to the present day.",0.9535949
AFST 300,HIST 209,"Race and racism played a significant role in the construction of the United States of America. But so did the quest for a more perfect union and the beloved community. This course introduces students to the complexity of racial ideology and the ways it privileges one group of people while placing others at a disadvantage. We shall examine the experiences of all racialized groups (Blacks, Asians, American Indians, Latinos) and how they resisted the injustice against them. Most importantly, we shall analyze how their quest for liberation brought America closer to its foundational ideal that all humans are created equal and are endowed with unalienable rights.","This course explores the history of enslavement in the Atlantic World, including West Africa, South America, the Caribbean, North America, and Europe. The course examines the intersecting themes of power, labor, law, race, gender, sexuality, and resistance. It will consider how these themes each shaped the construction of different institutions of enslavement while simultaneously focusing on the experiences of the enslaved who lived and died within in these systems. Using a comparative methodology, we will ask canonical questions, such as what constitutes a slave society and which forms did resistance, rebellion, and revolution by enslaved people take.",0.9528819
