Course Title,Similar Course,Similarity Score
AFST 289,CAMS 187,0.22
AFST 289,PHYS 235,0.19
AFST 289,RUSS 267,0.18
AFST 300,RELG 110,0.24
AFST 300,HIST 153,0.15
AFST 300,STAT 250,0.15
AMST 115,GERM 400,0.25
AMST 115,PHIL 119,0.23
AMST 115,LING 115,0.22
AMST 269,PHIL 119,0.16
AMST 269,POSC 242,0.14
AMST 269,AMST 115,0.14
AMST 321,GWSS 398.00,0.24
AMST 321,ECON 331,0.17
AMST 321,ARCN 112,0.17
AMST 396.00,GERM 400,0.17
AMST 396.00,POSC 232.02,0.16
AMST 396.00,IDSC 289,0.15
ARBC 103,ARBC 206,0.45
ARBC 103,IDSC 280,0.27
ARBC 103,ENGL 395.00,0.25
ARBC 206,ARBC 103,0.45
ARBC 206,STAT 250,0.32
ARBC 206,SPAN 220,0.30
ARBC 222,MUSC 150,0.29
ARBC 222,MUSC 150J,0.29
ARBC 222,ARBC 223,0.29
ARBC 223,ARBC 222,0.29
ARBC 223,MUSC 189,0.28
ARBC 223,MUSC 188,0.28
ARBC 371,HIST 251,0.26
ARBC 371,ARBC 206,0.25
ARBC 371,ARBC 103,0.21
ARCN 112,GWSS 398.00,0.27
ARCN 112,CHIN 251,0.18
ARCN 112,HIST 229,0.18
ARCN 222,PE 138,0.20
ARCN 222,CHIN 206,0.18
ARCN 222,STAT 250,0.18
ARTH 214,GEOL 255,0.26
ARTH 214,GRK 226,0.22
ARTH 214,GRK 102,0.20
ARTH 298,ARTS 322,0.27
ARTH 298,HIST 265,0.27
ARTH 298,ARTH 400,0.25
ARTH 400,GEOL 230,0.46
ARTH 400,PHYS 234,0.37
ARTH 400,ARTS 400,0.37
ARTS 113,ARTS 139,0.30
ARTS 113,ARTS 262,0.28
ARTS 113,ARTS 339,0.28
ARTS 122,ARTS 262,0.28
ARTS 122,ARTS 230,0.26
ARTS 122,ARTS 322,0.26
ARTS 139,ARTS 339,0.86
ARTS 139,ARTS 230,0.32
ARTS 139,ARTS 262,0.31
ARTS 230,ARTS 262,0.33
ARTS 230,ARTS 139,0.32
ARTS 230,ARTS 339,0.28
ARTS 252,ARTS 322,0.29
ARTS 252,ARTS 230,0.26
ARTS 252,ARTS 262,0.26
ARTS 262,ARTS 230,0.33
ARTS 262,ARTS 139,0.31
ARTS 262,ARTS 339,0.28
ARTS 298,HIST 265,0.23
ARTS 298,EDUC 110,0.18
ARTS 298,ARTS 139,0.18
ARTS 322,ARTS 252,0.29
ARTS 322,ARTS 339,0.29
