Course Title,Similar Course,Similarity Score
AFST 289,CAMS 214,0.22
AFST 289,POSC 120,0.19
AFST 289,SOAN 228,0.18
AFST 300,RELG 261,0.24
AFST 300,HIST 209,0.15
AFST 300,THEA 199,0.15
AMST 115,GWSS 110,0.25
AMST 115,PHIL 219,0.23
AMST 115,LTAM 398,0.22
AMST 269,PHIL 219,0.16
AMST 269,POSC 315,0.14
AMST 269,AMST 115,0.14
AMST 321,HIST 116,0.24
AMST 321,EDUC 110,0.17
AMST 321,ARCN 112,0.17
AMST 396.00,GWSS 110,0.17
AMST 396.00,POSC 302,0.16
AMST 396.00,JAPN 343,0.15
ARBC 103,ARBC 206,0.45
ARBC 103,JAPN 206,0.27
ARBC 103,FREN 103,0.25
ARBC 206,ARBC 103,0.45
ARBC 206,THEA 199,0.32
ARBC 206,STAT 285,0.30
ARBC 222,MUSC 152,0.29
ARBC 222,MUSC 152J,0.29
ARBC 222,ARBC 223,0.29
ARBC 223,ARBC 222,0.29
ARBC 223,MUSC 195,0.28
ARBC 223,MUSC 194,0.28
ARBC 371,HIST 287,0.26
ARBC 371,ARBC 206,0.25
ARBC 371,ARBC 103,0.21
ARCN 112,HIST 116,0.27
ARCN 112,CLAS 123,0.18
ARCN 112,HIST 276,0.18
ARCN 222,PE 153,0.20
ARCN 222,CHIN 358,0.18
ARCN 222,THEA 199,0.18
ARTH 214,GERM 217,0.26
ARTH 214,GWSS 398.00,0.22
ARTH 214,GWSS 200,0.20
ARTH 298,ARTS 322,0.27
ARTH 298,HIST 298,0.27
ARTH 298,ARTH 400,0.25
ARTH 400,GEOL 400,0.46
ARTH 400,PHYS 400,0.37
ARTH 400,ARTS 400,0.37
ARTS 113,ARTS 139,0.30
ARTS 113,ARTS 262,0.28
ARTS 113,ARTS 339,0.28
ARTS 122,ARTS 262,0.28
ARTS 122,ARTS 230,0.26
ARTS 122,ARTS 322,0.26
ARTS 139,ARTS 339,0.86
ARTS 139,ARTS 230,0.32
ARTS 139,ARTS 262,0.31
ARTS 230,ARTS 262,0.33
ARTS 230,ARTS 139,0.32
ARTS 230,ARTS 339,0.28
ARTS 252,ARTS 322,0.29
ARTS 252,ARTS 230,0.26
ARTS 252,ARTS 262,0.26
ARTS 262,ARTS 230,0.33
ARTS 262,ARTS 139,0.31
ARTS 262,ARTS 339,0.28
ARTS 298,HIST 298,0.23
ARTS 298,EDUC 385,0.18
ARTS 298,ARTS 139,0.18
ARTS 322,ARTS 252,0.29
ARTS 322,ARTS 339,0.29
ARTS 322,ARTS 139,0.28
