Course Number,Course Title,Credits,Description,Offered,Liberal Arts Requirements,Prerequisites,Tags,Sections
AFST 100.00,"Sports, the Black Experience, and the American Dream",6 credits,"With an emphasis on critical reading and writing in an academic context, this course will examine the role of sports in American politics and social organizations. The course pays attention to the African American experience, noting especially the confluence of race and sports. What can sports tell us about freedom, equality, and the pursuit of happiness? How has the Black community contributed to our appreciation of these American virtues? We will read short texts and biographies, and we will watch movies such as King Richard and The Blind Side. Students will produce short writing exercises aimed at developing their critical thinking and clear writing.Held for new first year students",Fall 2024,"AI/WR1, Argument & Inquiry/WR1",Student is a member of the First Year First Term class level cohort. Students are only allowed to register for one A&I course at a time. If a student wishes to change the A&I course they are enrolled in they must DROP the enrolled course and then ADD the new course. Please see our Workday guides Drop or 'Late' Drop a Course and Register or Waitlist for a Course Directly from the Course Listing for more information.,CL: 100 level | AFST Core | AFST Survey Course,"AFST
                                                 100.00 | Fall 2024 | Faculty: | Chielo Eze | 🏫 | 👤 | Size: | 15 | M, W | Library 344 | 9:50am-11:00am | F | Library 344 | 9:40am-10:40am"
AFST 101,Ecology and Anthropology Tanzania Program: Elementary Swahili,,"Elementary Swahili introduces students to the communicative use of Swahili, emphasizing communicative competence in real contexts. Ninety percent of instruction is conducted in the target language. Vocabulary and grammar are taught in context. Instruction pays attention to the cultural information in relevant contexts of communication. The main learning/teaching styles used include role plays, prepared presentations, interactive lectures, classroom conversations, and dramatization. In addition to the class textbook, authentic source materials are used, such as pictures, songs, short stories, poems and essays. Student assessment is continuous, and includes classroom participation, homework, written exams and oral exams.Open only to participants in Ecology & Anthropology in Tanzania program",Fall 2024,No Exploration,Acceptance in the Carleton OCS Ecology and Anthropology in Tanzania program.,CL: 100 level,"AFST
                                                 101.07 | Fall 2024 | Faculty: | Anna Estes | 🏫 | 👤 | Size: | 25 | Credits: | 7 – 8"
AFST 120,Blackness and Whiteness Outside the United States,6 credits,"This course examines blackness and whiteness as constructs outside the U.S.  Racial categories and their meanings will be considered through a range of topics: skin color stratification, nationalism, migration and citizenship, education, popular culture and media, spatial segregation and others.  Central to the course will be considering how racism and anti-blackness vary across societies, as well as the transnational and global flows of racial ideas and categories. Examples will be drawn from the Americas, Europe, the Middle East, Asia, and Africa.Not available to students who took AFST 100 Fall 2023",Fall 2024,"IS, International Studies | SI, Social Inquiry | WR2 Writing Requirement 2",,AFST Core | AFST Survey Course | SOAN Pertinent | CL: 100 level,"AFST
                                                 120.00 | Fall 2024 | Faculty: | Daniel Williams | 🏫 | 👤 | Size: | 25 | T, TH | Leighton 402 | 10:10am-11:55am"
AFST 225,"Black Music, Resistance, and Liberation",6 credits,"For every defining moment in black history, there is a song. Every genre of black music makes a statement not only about the specific historical epoch it was created but also about the people’s dreams. For black people, songs are a means of resistance to oppression and an expression of the will to live. Through the analysis of black music, this course will expose students to black people’s struggles, hopes, and aspirations, and also American history, race relations, and much more. The class will read insightful texts, listen to songs, watch films, and engage in animated discussions.",Fall 2024,"HI, Humanistic Inquiry | IDS, Intercultural Domestic Studies | WR2 Writing Requirement 2",Student has completed any of the following course(s): One course that applies toward the Humanistic Inquiry requirement with a grade of C- or better.,AFST Core | AFST Humanistic Inquiry | AMMU Soundtracks America | CL: 200 level | MUSC Ethnomusicolgy or Pop,"AFST
                                                 225.00 | Fall 2024 | Faculty: | Chielo Eze | 🏫 | 👤 | Size: | 25 | T, TH | Leighton 330 | 1:15pm-3:00pm"
AFST 400,Integrative Exercise,,"The comprehensive exercise is a substantial (approximately 34-40 page) research paper on a topic within African, African American, and/or African Diaspora studies. The student should have completed a 300-level AFST course, or a 300-level course that counts toward the AFST major. The comps process begins with a Comps Topic Development Worksheet during spring term of the junior year, a comps topic intention form followed by a proposal in fall term of the senior year, and ends with a final written thesis and oral presentation early in spring term.",Fall 2024,,Student is in the AFST Program of Study and has Senior Priority.,,"AFST
                                                 400.00 | Fall 2024 | Faculty: | Chielo Eze | 🏫 | 👤 | Size: | 25 | Grading: | S/NC | Credits: | 1 – 6"
AMST 100.00,Walt Whitman’s New York City,6 credits,"""O City / Behold me! Incarnate me as I have incarnated you!"" An investigation of the burgeoning metropolitan city where the young Walter Whitman became a poet in the 1850s. Combining historical inquiry into the lives of nineteenth-century citizens of Brooklyn and Manhattan with analysis of Whitman’s varied journalistic writings and utterly original poetry, we will reconstruct how Whitman found his muse and his distinctively modern subject in the geography, demographics, markets, politics, and erotics of New York.Held for new first year students",Fall 2024,"AI/WR1, Argument & Inquiry/WR1 | IDS, Intercultural Domestic Studies",Student is a member of the First Year First Term class level cohort. Students are only allowed to register for one A&I course at a time. If a student wishes to change the A&I course they are enrolled in they must DROP the enrolled course and then ADD the new course. Please see our Workday guides Drop or 'Late' Drop a Course and Register or Waitlist for a Course Directly from the Course Listing for more information.,CL: 100 level | AMST Democracy Activism | AMST Prdctn Consmptn Cult | AMST Space and Place,"AMST
                                                 100.00 | Fall 2024 | Faculty: | Peter Balaam | 🏫 | 👤 | Size: | 15 | M, W | Laird 206 | 9:50am-11:00am | F | Laird 206 | 9:40am-10:40am"
AMST 115,Introduction to American Studies,6 credits,"This overview of the “interdisciplinary discipline” of American Studies will focus on the ways American Studies engages with and departs from other scholarly fields of inquiry. We will study the stories of those who have been marginalized in the social, political, cultural, and economic life of the United States due to their class, race, ethnicity, gender, sexual orientation, religion, citizenship, and level of ability. We will explore contemporary American Studies concerns like racial and class formation, the production of space and place, the consumption and circulation of culture, and transnational histories.Sophomore Priority",Fall 2024,"HI, Humanistic Inquiry | IDS, Intercultural Domestic Studies | WR2 Writing Requirement 2",,AMMU Music Foundations | CCST Seeing and Being Cross-Cult | EDUC 2 Soc and Cult Context | HIST Pertinent Courses | HIST US History | CL: 100 level,"AMST
                                                 115.00 | Fall 2024 | Faculty: | Christopher Elias | 🏫 | 👤 | Size: | 30 | T, TH | Weitz Center 230 | 1:15pm-3:00pm | Sophomore Priority."
AMST 215,Trains of Thought: Contemplating Local Commuter and Passenger Rail,6 credits,"Meeting with mass-transit professionals, urban planners, and community organizers to discuss contemporary rail policy, students in this seminar will search local archives and develop public-facing informational materials about the Dan Patch Corridor, which passes through Northfield. This rail line was identified by MnDOT in 1998 as the most feasible southbound commuter-rail route for the Twin Cities. From 2002 until 2023, however, the state legislature prohibited it from further transportation studies. Meanwhile, grassroots rail advocates proposed reestablishing long-distance passenger service from Minneapolis to Kansas City. What are the arguments for and against reviving rail services? What does the community think?",Fall 2024,"HI, Humanistic Inquiry | IDS, Intercultural Domestic Studies | QRE, Quantitative Reasoning",,ACE Applied | AMST Democracy Activism | AMST Space and Place | CL: 200 level,"AMST
                                                 215.00 | Fall 2024 | Faculty: | Baird Jarman | 🏫 | 👤 | Size: | 25 | T, TH | Boliou 161 | 1:15pm-3:00pm"
AMST 238,9/11 and the War on Terror in American Culture,6 credits,"An exploration of how the terrorist attacks of 9/11/2001 and the subsequent War on Terror impacted American culture. We will focus on issues of both form (the elements determining the look and feel of post-9/11 artwork) and content (the social and moral concerns driving post-9/11 culture). Shared texts will include novels, short stories, poetry, music, art, and films. Particular attention will be paid to themes such as race and racism, religion and religious discrimination, immigration and xenophobia, debates over American exceptionalism, critiques of American capitalism, the “death of irony,” attempts to define “truth,” and the spread of conspiracy theories.",Fall 2024,"HI, Humanistic Inquiry | IDS, Intercultural Domestic Studies",,AMST America in the World | AMST Prdctn Consmptn Cult | AMST Race Ethnicty Indign | CL: 200 level,"AMST
                                                 238.00 | Fall 2024 | Faculty: | Christopher Elias | 🏫 | 👤 | Size: | 25 | T, TH | Willis 203 | 10:10am-11:55am"
AMST 250,Asian American Reckonings,3 credits,"As both targets of racism and beneficiaries of privilege, Asian Americans defy easy categorization. In a timely intervention, Cathy Park Hong, in her 2020 essay collection Minor Feelings, undertakes an “Asian American Reckoning.” Following Hong’s lead, this five-week course will reckon with Asian America in its most vexing aspects. Through an exploration of memoir, cultural criticism, poetry, fiction, and film/media, we will think hard about questions of privilege and discrimination, interracial politics, settler colonialism, and transnational ties. Grappling with the past and looking towards the future, this course asks: What does it mean to be Asian American?Meets for the 1st 5 Weeks",Fall 2024,"IDS, Intercultural Domestic Studies | LA, Literary/Artistic Analysis",,AMST Prdctn Consmptn Cult | AMST Race Ethnicty Indign | CL: 200 level,"AMST
                                                 250.00 | Fall 2024 | Faculty: | Nancy Cho | 🏫 | 👤 | Size: | 25 | M, W | Laird 007 | 12:30pm-1:40pm | F | Laird 007 | 1:10pm-2:10pm"
AMST 398,Advanced Research in American Studies,3 credits,"This seminar introduces advanced skills in American Studies research, focusing on the shaping and proposing of a major research project. Through a combination of class discussion, small group work and presentations, and one-on-one interactions with the professor, majors learn the process of imaging, creating, and preparing independent interdisciplinary projects as well as the interconnections of disparate scholarly and creative works.",Fall 2024,No Exploration,Student has completed any of the following course(s): AMST 345 – Theory and Practice of American Studies with a grade of C- or better.,,"AMST
                                                 398.00 | Fall 2024 | Faculty: | Michael McNally | 🏫 | 👤 | Size: | 15 | Grading: | S/CR/NC | T, TH | Leighton 303 | 8:15am-10:00am"
ARBC 100.00,Arabs Encountering the West,6 credits,"The encounter between Arabs and Westerners has been marked by its fair share of sorrow and suspicion. In this seminar we will read literary works by Arab authors written over approximately 1000 years–from the Crusades, the height of European imperialism, and on into the age of Iraq, Obama and ISIS. Through our readings and discussions, we will ask along with Arab authors: Is conflict between Arabs and Westerners the inevitable and unbridgeable result of differing world-views, religions and cultures? Are differences just a result of poor communication? Or is this “cultural conflict” something that can be understood historically?Held for new first year students",Fall 2024,"AI/WR1, Argument & Inquiry/WR1 | IS, International Studies",Student is a member of the First Year First Term class level cohort. Students are only allowed to register for one A&I course at a time. If a student wishes to change the A&I course they are enrolled in they must DROP the enrolled course and then ADD the new course. Please see our Workday guides Drop or 'Late' Drop a Course and Register or Waitlist for a Course Directly from the Course Listing for more information.,CL: 100 level,"ARBC
                                                 100.00 | Fall 2024 | Faculty: | Zaki Haidar | 🏫 | 👤 | Size: | 15 | M, W | Weitz Center 136 | 1:50pm-3:00pm | F | Weitz Center 136 | 2:20pm-3:20pm"
